Week, difference, region, region_id, trend, value
2020-12, , Brandenburg, 12, , 6.2
2020-13, -0.3, Brandenburg, 12, -0.0405, 5.9
2020-14, 0.9, Brandenburg, 12, 0.0616, 6.8
2020-15, 0.7, Brandenburg, 12, 0.0479, 7.5
2020-16, -2.2, Brandenburg, 12, -0.2973, 5.3
2020-17, -0.2, Brandenburg, 12, -0.027, 5.1
2020-18, -1.1, Brandenburg, 12, -0.1486, 4
2020-19, -1.2, Brandenburg, 12, -0.1622, 2.8
2020-20, -1.7, Brandenburg, 12, -0.2297, 1.1
2020-21, -0.1, Brandenburg, 12, -0.0135, 1
2020-22, -0.5, Brandenburg, 12, -0.0676, 0.5
2020-23, -0.4, Brandenburg, 12, -0.0541, 0.1
2020-24, 0.4, Brandenburg, 12, 0.0274, 0.5
2020-25, , Brandenburg, 12, , 0.5
2020-26, -0.2, Brandenburg, 12, -0.027, 0.3
2020-27, 0.1, Brandenburg, 12, 0.0068, 0.4
2020-28, -0.1, Brandenburg, 12, -0.0135, 0.3
2020-29, 0.1, Brandenburg, 12, 0.0068, 0.4
2020-30, 0.4, Brandenburg, 12, 0.0274, 0.8
2020-31, -0.2, Brandenburg, 12, -0.027, 0.6
2020-32, , Brandenburg, 12, , 0.6
2020-33, 0.2, Brandenburg, 12, 0.0137, 0.8
2020-34, -0.5, Brandenburg, 12, -0.0676, 0.3
2020-35, 0.1, Brandenburg, 12, 0.0068, 0.4
2020-36, 0.1, Brandenburg, 12, 0.0068, 0.5
2020-37, , Brandenburg, 12, , 0.5
2020-38, 0.6, Brandenburg, 12, 0.0411, 1.1
2020-39, -0.2, Brandenburg, 12, -0.027, 0.9
2020-40, , Brandenburg, 12, , 0.9
2020-41, 1.1, Brandenburg, 12, 0.0753, 2
2020-42, 0.7, Brandenburg, 12, 0.0479, 2.7
2020-43, 0.8, Brandenburg, 12, 0.0548, 3.5
2020-44, 3, Brandenburg, 12, 0.2055, 6.5
2020-45, -1.2, Brandenburg, 12, -0.1622, 5.3
2020-46, 0.5, Brandenburg, 12, 0.0342, 5.8
2020-47, 2.7, Brandenburg, 12, 0.1849, 8.5
2020-48, -0.8, Brandenburg, 12, -0.1081, 7.7
2020-49, 3.2, Brandenburg, 12, 0.2192, 10.9
2020-50, 4.2, Brandenburg, 12, 0.2877, 15.1
2020-51, , Brandenburg, 12, , 15.1
2020-52, 1.9, Brandenburg, 12, 0.1301, 17
2020-53, 1.8, Brandenburg, 12, 0.1233, 18.8
2021-01, -3.4, Brandenburg, 12, -0.4595, 15.4
2021-02, -4.7, Brandenburg, 12, -0.6351, 10.7
2021-03, -2.6, Brandenburg, 12, -0.3514, 8.1
2021-04, -0.4, Brandenburg, 12, -0.0541, 7.7
2021-05, -0.7, Brandenburg, 12, -0.0946, 7
2021-06, -0.9, Brandenburg, 12, -0.1216, 6.1
2021-07, -0.9, Brandenburg, 12, -0.1216, 5.2
2021-08, -0.4, Brandenburg, 12, -0.0541, 4.8
2021-09, -0.2, Brandenburg, 12, -0.027, 4.6
2021-10, 0.5, Brandenburg, 12, 0.0342, 5.1
2021-11, 1, Brandenburg, 12, 0.0685, 6.1
2021-12, 1.8, Brandenburg, 12, 0.1233, 7.9
