Week, difference, trend, value
2020-10, , , 
2020-11, 12, 0.0228, 12
2020-12, 31, 0.0589, 43
2020-13, 291, 0.5532, 334
2020-14, 619, 1.1768, 953
2020-15, 378, 0.7186, 1331
2020-16, 290, 0.5513, 1621
2020-17, -275, -0.5991, 1346
2020-18, -337, -0.7342, 1009
2020-19, -263, -0.573, 746
2020-20, -227, -0.4946, 519
2020-21, -186, -0.4052, 333
2020-22, -80, -0.1743, 253
2020-23, -85, -0.1852, 168
2020-24, -49, -0.1068, 119
2020-25, -24, -0.0523, 95
2020-26, -20, -0.0436, 75
2020-27, -20, -0.0436, 55
2020-28, -4, -0.0087, 51
2020-29, -30, -0.0654, 21
2020-30, 13, 0.0247, 34
2020-31, -11, -0.024, 23
2020-32, 32, 0.0608, 55
2020-33, -20, -0.0436, 35
2020-34, 3, 0.0057, 38
2020-35, -12, -0.0261, 26
2020-36, 4, 0.0076, 30
2020-37, -6, -0.0131, 24
2020-38, 13, 0.0247, 37
2020-39, 34, 0.0646, 71
2020-40, 1, 0.0019, 72
2020-41, 14, 0.0266, 86
2020-42, 76, 0.1445, 162
2020-43, 93, 0.1768, 255
2020-44, 194, 0.3688, 449
2020-45, 359, 0.6825, 808
2020-46, 388, 0.7376, 1196
2020-47, 341, 0.6483, 1537
2020-48, 564, 1.0722, 2101
2020-49, 548, 1.0418, 2649
2020-50, 366, 0.6958, 3015
2020-51, 1247, 2.3707, 4262
2020-52, -533, -1.1612, 3729
2020-53, 765, 1.4544, 4494
2021-01, 1577, 2.9981, 6071
2021-02, 5, 0.0095, 6076
2021-03, -625, -1.3617, 5451
2021-04, -376, -0.8192, 5075
2021-05, -503, -1.0959, 4572
2021-06, -1129, -2.4597, 3443
2021-07, -562, -1.2244, 2881
2021-08, -677, -1.4749, 2204
2021-09, -349, -0.7603, 1855
2021-10, -384, -0.8366, 1471
2021-11, -178, -0.3878, 1293
2021-12, -87, -0.1895, 1206
2021-13, -113, -0.2462, 1093
2021-14, 297, 0.5646, 1390
2021-15, 171, 0.3251, 1561
2021-16, 89, 0.1692, 1650
2021-17, -22, -0.0479, 1628
2021-18, -45, -0.098, 1583
2021-19, -262, -0.5708, 1321
2021-20, -37, -0.0806, 1284
2021-21, -258, -0.5621, 1026
2021-22, -210, -0.4575, 816
2021-23, -204, -0.4444, 612
2021-24, -61, -0.1329, 551
2021-25, -182, -0.3965, 369
2021-26, -93, -0.2026, 276
2021-27, -75, -0.1634, 201
2021-28, -70, -0.1525, 131
2021-29, 31, 0.0589, 162
2021-30, -27, -0.0588, 135
2021-31, -12, -0.0261, 123
2021-32, -38, -0.0828, 85
2021-33, 24, 0.0456, 109
2021-34, 45, 0.0856, 154
2021-35, 62, 0.1179, 216
2021-36, 44, 0.0837, 260
2021-37, 92, 0.1749, 352
2021-38, 83, 0.1578, 435
2021-39, -42, -0.0915, 393
2021-40, 23, 0.0437, 416
2021-41, , , 416
2021-42, 66, 0.1255, 482
2021-43, 147, 0.2795, 629
2021-44, 167, 0.3175, 796
2021-45, 351, 0.6673, 1147
2021-46, 243, 0.462, 1390
2021-47, 431, 0.8194, 1821
2021-48, 336, 0.6388, 2157
2021-49, 441, 0.8384, 2598
2021-50, -3, -0.0065, 2595
2021-51, -464, -1.0109, 2131
2021-52, -340, -0.7407, 1791
2022-01, 31, 0.0589, 1822
2022-02, -180, -0.3922, 1642
2022-03, -543, -1.183, 1099
2022-04, -92, -0.2004, 1007
2022-05, -15, -0.0327, 992
2022-06, 226, 0.4297, 1218
2022-07, 122, 0.2319, 1340
2022-08, 63, 0.1198, 1403
2022-09, 21, 0.0399, 1424
2022-10, 45, 0.0856, 1469
2022-11, -124, -0.2702, 1345
2022-12, 176, 0.3346, 1521
2022-13, 71, 0.135, 1592
2022-14, 94, 0.1787, 1686
2022-15, -459, -1, 1227
2022-16, 10, 0.019, 1237
2022-17, 45, 0.0856, 1282
2022-18, -210, -0.4575, 1072
2022-19, -106, -0.2309, 966
2022-20, -140, -0.305, 826
2022-21, -289, -0.6296, 537
2022-22, -13, -0.0283, 524
2022-23, -104, -0.2266, 420
2022-24, -50, -0.1089, 370
2022-25, 188, 0.3574, 558
2022-26, , , 558
2022-27, 12, 0.0228, 570
2022-28, 101, 0.192, 671
2022-29, -27, -0.0588, 644
2022-30, 151, 0.2871, 795
2022-31, 91, 0.173, 886
2022-32, -46, -0.1002, 840
2022-33, -34, -0.0741, 806
2022-34, -206, -0.4488, 600
2022-35, 58, 0.1103, 658
2022-36, -121, -0.2636, 537
2022-37, 97, 0.1844, 634
2022-38, -109, -0.2375, 525
2022-39, 81, 0.154, 606
2022-40, -135, -0.2941, 471
2022-41, 414, 0.7871, 885
2022-42, 177, 0.3365, 1062
2022-43, , , 1062
2022-44, -71, -0.1547, 991
2022-45, 62, 0.1179, 1053
2022-46, -28, -0.061, 1025
2022-47, -143, -0.3115, 882
2022-48, -179, -0.39, 703
2022-49, 65, 0.1236, 768
2022-50, 150, 0.2852, 918
2022-51, -34, -0.0741, 884
2022-52, -187, -0.4074, 697
2023-01, 526, 1, 1223
2023-02, -136, -0.2963, 1087
2023-03, -159, -0.3464, 928
2023-04, -190, -0.4139, 738
2023-05, -51, -0.1111, 687
2023-06, -52, -0.1133, 635
2023-07, -109, -0.2375, 526
2023-08, -3, -0.0065, 523
2023-09, 62, 0.1179, 585
2023-10, 75, 0.1426, 660
2023-11, -56, -0.122, 604
2023-12, 66, 0.1255, 670
2023-13, -37, -0.0806, 633
