Meldedatum, region, region_id, value, difference, trend
2020-03-02, Saarland, 10, 0.2, , 
2020-03-03, Saarland, 10, 0.2, , 
2020-03-04, Saarland, 10, 0.2, , 
2020-03-05, Saarland, 10, 0.2, , 
2020-03-06, Saarland, 10, 0.1, , 
2020-03-07, Saarland, 10, , , 
2020-03-08, Saarland, 10, , , 
2020-03-09, Saarland, 10, 0.1, , 
2020-03-10, Saarland, 10, 0.6, , 
2020-03-11, Saarland, 10, 0.8, , 
2020-03-12, Saarland, 10, 1.8, , 
2020-03-13, Saarland, 10, 3.2, , 
2020-03-14, Saarland, 10, 4.9, , 
2020-03-15, Saarland, 10, 6.1, , 
2020-03-16, Saarland, 10, 7.7, 3.0539, 0.0031
2020-03-17, Saarland, 10, 9.7, 6.7186, 0.0068
2020-03-18, Saarland, 10, 11.8, 7.533, 0.0076
2020-03-19, Saarland, 10, 15.1, 7.4312, 0.0075
2020-03-20, Saarland, 10, 18.2, 8.7545, 0.0089
2020-03-21, Saarland, 10, 20.3, 11.8084, 0.012
2020-03-22, Saarland, 10, 22.9, 10.3833, 0.0105
2020-03-23, Saarland, 10, 25.9, 10.0779, 0.0102
2020-03-24, Saarland, 10, 29.4, 17.2037, 0.0174
2020-03-25, Saarland, 10, 30.4, 20.563, 0.0208
2020-03-26, Saarland, 10, 31.1, 19.6468, 0.0199
2020-03-27, Saarland, 10, 33.7, 19.3414, 0.0196
2020-03-28, Saarland, 10, 36.3, 17.4073, 0.0176
2020-03-29, Saarland, 10, 39.1, 15.7785, 0.016
2020-03-30, Saarland, 10, 42.2, 26.2636, 0.0266
2020-03-31, Saarland, 10, 43, 17.1019, 0.0173
2020-04-01, Saarland, 10, 52.9, 14.3534, 0.0145
2020-04-02, Saarland, 10, 59, 29.6229, 0.03
2020-04-03, Saarland, 10, 69.3, 25.042, 0.0254
2020-04-04, Saarland, 10, 70, 36.3415, 0.0368
2020-04-05, Saarland, 10, 77.4, 41.7367, 0.0423
2020-04-06, Saarland, 10, 78.3, 36.6469, 0.0371
2020-04-07, Saarland, 10, 79.3, 32.8804, 0.0333
2020-04-08, Saarland, 10, 73.6, 29.1139, 0.0295
2020-04-09, Saarland, 10, 78.1, 7.8384, 0.0079
2020-04-10, Saarland, 10, 74.3, 7.6348, 0.0077
2020-04-11, Saarland, 10, 76.4, 4.3773, 0.0044
2020-04-12, Saarland, 10, 64.5, -6.8204, -0.0109
2020-04-13, Saarland, 10, 58, -19.036, -0.0303
2020-04-14, Saarland, 10, 53, -21.6827, -0.0345
2020-04-15, Saarland, 10, 48.1, -25.3474, -0.0403
2020-04-16, Saarland, 10, 37.5, -28.1977, -0.0449
2020-04-17, Saarland, 10, 28.8, -34.8145, -0.0554
2020-04-18, Saarland, 10, 22.7, -49.9823, -0.0795
2020-04-19, Saarland, 10, 23.4, -42.0421, -0.0669
2020-04-20, Saarland, 10, 21.4, -35.7307, -0.0569
2020-04-21, Saarland, 10, 20.3, -32.9822, -0.0525
2020-04-22, Saarland, 10, 21.2, -26.4672, -0.0421
2020-04-23, Saarland, 10, 20.9, -19.2396, -0.0306
2020-04-24, Saarland, 10, 18, -11.1977, -0.0178
2020-04-25, Saarland, 10, 17.1, -6.1078, -0.0097
2020-04-26, Saarland, 10, 15.8, -6.6168, -0.0105
2020-04-27, Saarland, 10, 17.3, -4.0719, -0.0065
2020-04-28, Saarland, 10, 16.1, -3.3593, -0.0053
2020-04-29, Saarland, 10, 13.1, -7.6348, -0.0121
2020-04-30, Saarland, 10, 11.3, -5.5988, -0.0089
2020-05-01, Saarland, 10, 11.6, -4.5809, -0.0073
2020-05-02, Saarland, 10, 10.6, -4.3773, -0.007
2020-05-03, Saarland, 10, 9.8, -3.6647, -0.0058
2020-05-04, Saarland, 10, 8.4, -6.7186, -0.0107
2020-05-05, Saarland, 10, 8.6, -4.8863, -0.0078
2020-05-06, Saarland, 10, 8.4, -3.1557, -0.005
2020-05-07, Saarland, 10, 6.6, -3.4611, -0.0055
2020-05-08, Saarland, 10, 5.4, -6.7186, -0.0107
2020-05-09, Saarland, 10, 4.7, -7.024, -0.0112
2020-05-10, Saarland, 10, 4.5, -6.7186, -0.0107
2020-05-11, Saarland, 10, 4.1, -5.497, -0.0087
2020-05-12, Saarland, 10, 3.8, -7.024, -0.0112
2020-05-13, Saarland, 10, 3.9, -6.006, -0.0096
2020-05-14, Saarland, 10, 3.8, -5.8024, -0.0092
2020-05-15, Saarland, 10, 3.6, -3.5629, -0.0057
2020-05-16, Saarland, 10, 3.5, -2.6467, -0.0042
2020-05-17, Saarland, 10, 3.3, -1.9341, -0.0031
2020-05-18, Saarland, 10, 3.3, -1.7305, -0.0028
2020-05-19, Saarland, 10, 3.4, -0.7126, -0.0011
2020-05-20, Saarland, 10, 3.1, -0.4072, -0.0006
2020-05-21, Saarland, 10, 2.4, -0.3054, -0.0005
2020-05-22, Saarland, 10, 1.8, -0.9162, -0.0015
2020-05-23, Saarland, 10, 1.7, -1.1198, -0.0018
2020-05-24, Saarland, 10, 1.9, -1.527, -0.0024
2020-05-25, Saarland, 10, 2, -1.2216, -0.0019
2020-05-26, Saarland, 10, 2, -1.2216, -0.0019
2020-05-27, Saarland, 10, 2, -1.018, -0.0016
2020-05-28, Saarland, 10, 2.2, -0.7126, -0.0011
2020-05-29, Saarland, 10, 2.3, , 
2020-05-30, Saarland, 10, 2.5, 0.6108, 0.0006
2020-05-31, Saarland, 10, 2.2, 0.3054, 0.0003
2020-06-01, Saarland, 10, 2.2, -0.1018, -0.0002
2020-06-02, Saarland, 10, 2.6, -0.1018, -0.0002
