Meldedatum, region, region_id, value, difference, trend
2020-03-02, Niedersachsen, 3, , , 
2020-03-03, Niedersachsen, 3, , , 
2020-03-04, Niedersachsen, 3, 0.1, , 
2020-03-05, Niedersachsen, 3, 0.2, , 
2020-03-06, Niedersachsen, 3, 0.2, , 
2020-03-07, Niedersachsen, 3, 0.3, , 
2020-03-08, Niedersachsen, 3, 0.4, , 
2020-03-09, Niedersachsen, 3, 0.5, , 
2020-03-10, Niedersachsen, 3, 0.6, , 
2020-03-11, Niedersachsen, 3, 1, , 
2020-03-12, Niedersachsen, 3, 1.7, 0.8098, 0.0013
2020-03-13, Niedersachsen, 3, 2.5, 1.333, 0.0022
2020-03-14, Niedersachsen, 3, 3.5, 1.8687, 0.0031
2020-03-15, Niedersachsen, 3, 4.4, 2.4168, 0.004
2020-03-16, Niedersachsen, 3, 5.2, 2.7906, 0.0046
2020-03-17, Niedersachsen, 3, 6.9, 3.2515, 0.0054
2020-03-18, Niedersachsen, 3, 8.7, 4.3727, 0.0073
2020-03-19, Niedersachsen, 3, 11.3, 5.768, 0.0096
2020-03-20, Niedersachsen, 3, 13.6, 6.0421, 0.01
2020-03-21, Niedersachsen, 3, 15.7, 7.1882, 0.0119
2020-03-22, Niedersachsen, 3, 17, 9.4306, 0.0157
2020-03-23, Niedersachsen, 3, 17.5, 10.5518, 0.0175
2020-03-24, Niedersachsen, 3, 18.6, 11.6731, 0.0194
2020-03-25, Niedersachsen, 3, 20, 12.8192, 0.0213
2020-03-26, Niedersachsen, 3, 21.4, 10.4896, 0.0174
2020-03-27, Niedersachsen, 3, 22.9, 12.296, 0.0204
2020-03-28, Niedersachsen, 3, 24.7, 11.4862, 0.0191
2020-03-29, Niedersachsen, 3, 26.8, 10.066, 0.0167
2020-03-30, Niedersachsen, 3, 27.7, 10.7512, 0.0179
2020-03-31, Niedersachsen, 3, 28.5, 10.1283, 0.0168
2020-04-01, Niedersachsen, 3, 29.3, 7.8236, 0.013
2020-04-02, Niedersachsen, 3, 29.2, 7.5246, 0.0125
2020-04-03, Niedersachsen, 3, 28.7, 4.9707, 0.0083
2020-04-04, Niedersachsen, 3, 28.4, 5.1327, 0.0085
2020-04-05, Niedersachsen, 3, 26.9, 1.2458, 0.0021
2020-04-06, Niedersachsen, 3, 26.4, -0.0623, -0.0001
2020-04-07, Niedersachsen, 3, 25.4, -2.0556, -0.0041
2020-04-08, Niedersachsen, 3, 25.6, -4.3603, -0.0086
2020-04-09, Niedersachsen, 3, 25.2, -2.8404, -0.0056
2020-04-10, Niedersachsen, 3, 25, -3.2141, -0.0064
