Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-04-25, -3.8409, 2.608, Thüringen, 16, -0.3568, 2.61, , , 
2023-04-24, -2.7503, 2.7503, Thüringen, 16, -0.2555, 3.13, , , 
2023-04-23, -3.0348, 2.7977, Thüringen, 16, -0.2819, 3.08, , , 
2023-04-22, -3.0348, 2.8926, Thüringen, 16, -0.2819, 3.18, 3.51, 3.68, 4.34
2023-04-21, -1.7071, 3.3193, Thüringen, 16, -0.1586, 3.79, 4.1, 4.18, 4.26
2023-04-20, -0.901, 4.078, Thüringen, 16, -0.0837, 4.93, 5.23, 5.33, 5.43
2023-04-19, 0.569, 4.8367, Thüringen, 16, 0.0764, 5.93, 6.21, 6.33, 6.44
2023-04-18, 3.1771, 6.449, Thüringen, 16, 0.4268, 8.16, 8.47, 8.59, 8.72
2023-04-17, 0.0474, 5.5006, Thüringen, 16, 0.0064, 6.92, 7.15, 7.24, 7.34
2023-04-16, -0.0948, 5.8325, Thüringen, 16, -0.0088, 7.26, 7.49, 7.58, 7.69
2023-04-15, -0.1423, 5.9274, Thüringen, 16, -0.0132, 7.26, 7.48, 7.58, 7.69
2023-04-14, -1.8019, 5.0264, Thüringen, 16, -0.1674, 6.54, 6.74, 6.82, 6.9
2023-04-13, -2.1813, 4.979, Thüringen, 16, -0.2026, 6.64, 6.81, 6.88, 6.96
2023-04-12, -1.5174, 4.2677, Thüringen, 16, -0.141, 6.4, 6.55, 6.6, 6.67
2023-04-11, -3.4142, 3.2719, Thüringen, 16, -0.3172, 5.26, 5.33, 5.36, 5.41
2023-04-10, -2.7029, 5.4532, Thüringen, 16, -0.2511, 7.44, 7.53, 7.57, 7.63
2023-04-09, -2.5606, 5.9274, Thüringen, 16, -0.2379, 7.54, 7.62, 7.66, 7.72
2023-04-08, -2.5132, 6.0696, Thüringen, 16, -0.2335, 7.59, 7.66, 7.7, 7.76
2023-04-07, -2.3709, 6.8283, Thüringen, 16, -0.2203, 8.11, 8.18, 8.23, 8.29
2023-04-06, -2.8926, 7.1603, Thüringen, 16, -0.2687, 8.58, 8.64, 8.68, 8.74
2023-04-05, -3.7935, 5.7851, Thüringen, 16, -0.3524, 8.73, 8.77, 8.81, 8.87
2023-04-04, -4.5048, 6.6861, Thüringen, 16, -0.4185, 8.82, 8.85, 8.89, 8.94
2023-04-03, -3.6038, 8.1561, Thüringen, 16, -0.3348, 9.67, 9.68, 9.72, 9.77
2023-04-02, -3.6513, 8.488, Thüringen, 16, -0.3392, 9.53, 9.54, 9.57, 9.62
2023-04-01, -3.8884, 8.5828, Thüringen, 16, -0.3612, 9.53, 9.54, 9.57, 9.62
2023-03-31, -3.8884, 9.1993, Thüringen, 16, -0.3612, 10.53, 10.53, 10.56, 10.61
2023-03-30, -3.2245, 10.0528, Thüringen, 16, -0.2996, 10.81, 10.8, 10.83, 10.88
2023-03-29, -3.8884, 9.5786, Thüringen, 16, -0.3612, 11.33, 11.32, 11.35, 11.39
2023-03-28, -2.8926, 11.1909, Thüringen, 16, -0.2687, 12.61, 12.58, 12.61, 12.66
2023-03-27, -1.4226, 11.7599, Thüringen, 16, -0.1322, 13.85, 13.8, 13.83, 13.86
2023-03-26, -1.3751, 12.1392, Thüringen, 16, -0.1278, 13.94, 13.89, 13.92, 13.96
2023-03-25, -1.4226, 12.4712, Thüringen, 16, -0.1322, 14.18, 14.13, 14.15, 14.19
2023-03-24, -0.4742, 13.0876, Thüringen, 16, -0.0441, 15.03, 14.97, 15, 15.03
2023-03-23, -0.1423, 13.2773, Thüringen, 16, -0.0132, 15.32, 15.25, 15.27, 15.3
2023-03-22, 0.3319, 13.467, Thüringen, 16, 0.0446, 15.74, 15.67, 15.69, 15.71
2023-03-21, 1.47, 14.0834, Thüringen, 16, 0.1975, 16.69, 16.61, 16.62, 16.63
2023-03-20, 1.7071, 13.1825, Thüringen, 16, 0.2293, 16.55, 16.46, 16.46, 16.47
2023-03-19, 1.8968, 13.5144, Thüringen, 16, 0.2548, 16.5, 16.41, 16.42, 16.42
2023-03-18, 2.1813, 13.8937, Thüringen, 16, 0.293, 16.55, 16.46, 16.46, 16.47
2023-03-17, 3.4616, 13.5618, Thüringen, 16, 0.465, 17.02, 16.93, 16.93, 16.93
2023-03-16, 3.7935, 13.4196, Thüringen, 16, 0.5096, 16.55, 16.46, 16.46, 16.46
2023-03-15, 3.6513, 13.135, Thüringen, 16, 0.4904, 16.69, 16.6, 16.6, 16.6
2023-03-14, 3.6038, 12.6134, Thüringen, 16, 0.4841, 15.89, 15.8, 15.8, 15.8
2023-03-13, 1.4226, 11.4754, Thüringen, 16, 0.1911, 15.13, 15.05, 15.05, 15.05
2023-03-12, 1.3751, 11.6176, Thüringen, 16, 0.1847, 14.94, 14.86, 14.86, 14.86
2023-03-11, 1.2329, 11.7125, Thüringen, 16, 0.1656, 14.61, 14.53, 14.53, 14.53
2023-03-10, -0.2845, 10.1002, Thüringen, 16, -0.0264, 12.85, 12.78, 12.78, 12.78
2023-03-09, -0.7113, 9.626, Thüringen, 16, -0.0661, 12.66, 12.59, 12.59, 12.59
2023-03-08, -0.901, 9.4838, Thüringen, 16, -0.0837, 12.9, 12.83, 12.83, 12.83
2023-03-07, -1.4226, 9.0096, Thüringen, 16, -0.1322, 11.81, 11.74, 11.74, 11.74
2023-03-06, -0.8061, 10.0528, Thüringen, 16, -0.0749, 12.04, 11.98, 11.98, 11.98
2023-03-05, -0.8535, 10.2425, Thüringen, 16, -0.0793, 12.04, 11.98, 11.98, 11.98
2023-03-04, -0.8535, 10.4796, Thüringen, 16, -0.0793, 12.19, 12.12, 12.12, 12.12
2023-03-03, -0.3794, 10.3847, Thüringen, 16, -0.0352, 12.42, 12.36, 12.36, 12.36
2023-03-02, -0.9958, 10.3373, Thüringen, 16, -0.0925, 12.66, 12.59, 12.59, 12.59
2023-03-01, 1.6597, 10.3847, Thüringen, 16, 0.2229, 12.66, 12.59, 12.59, 12.59
2023-02-28, 1.6122, 10.4322, Thüringen, 16, 0.2166, 13.89, 13.82, 13.82, 13.82
2023-02-27, 1.9442, 10.8589, Thüringen, 16, 0.2611, 13.28, 13.21, 13.21, 13.21
2023-02-26, 1.8968, 11.096, Thüringen, 16, 0.2548, 13.37, 13.3, 13.3, 13.3
2023-02-25, 1.7545, 11.3331, Thüringen, 16, 0.2357, 13.37, 13.3, 13.3, 13.3
2023-02-24, 1.8493, 10.7641, Thüringen, 16, 0.2484, 13.32, 13.25, 13.25, 13.25
2023-02-23, 1.9442, 11.3331, Thüringen, 16, 0.2611, 13.99, 13.91, 13.91, 13.91
2023-02-22, 1.2329, 8.7251, Thüringen, 16, 0.1656, 12.99, 12.92, 12.92, 12.92
2023-02-21, 1.1381, 8.8199, Thüringen, 16, 0.1529, 12.09, 12.03, 12.03, 12.03
2023-02-20, 3.3667, 8.9148, Thüringen, 16, 0.4522, 12.09, 12.03, 12.03, 12.03
2023-02-19, 3.4616, 9.1993, Thüringen, 16, 0.465, 12.09, 12.03, 12.03, 12.03
2023-02-18, 3.7461, 9.5786, Thüringen, 16, 0.5032, 12.28, 12.22, 12.22, 12.22
2023-02-17, 3.509, 8.9148, Thüringen, 16, 0.4713, 12.42, 12.36, 12.36, 12.36
2023-02-16, 3.9358, 9.3889, Thüringen, 16, 0.5287, 11.52, 11.46, 11.46, 11.46
2023-02-15, 2.1813, 7.4922, Thüringen, 16, 0.293, 11.1, 11.04, 11.04, 11.04
2023-02-14, 2.608, 7.6819, Thüringen, 16, 0.3503, 9.72, 9.67, 9.67, 9.67
2023-02-13, 1.0432, 5.548, Thüringen, 16, 0.1401, 8.35, 8.3, 8.3, 8.3
2023-02-12, 0.901, 5.7377, Thüringen, 16, 0.121, 8.3, 8.25, 8.25, 8.25
2023-02-11, 0.9484, 5.8325, Thüringen, 16, 0.1274, 7.97, 7.92, 7.92, 7.92
2023-02-10, 1.6122, 5.4058, Thüringen, 16, 0.2166, 7.44, 7.4, 7.4, 7.4
2023-02-09, 1.5648, 5.4532, Thüringen, 16, 0.2102, 6.88, 6.84, 6.84, 6.84
2023-02-08, 2.3709, 5.3109, Thüringen, 16, 0.3185, 6.78, 6.74, 6.74, 6.74
2023-02-07, 1.9916, 5.0738, Thüringen, 16, 0.2675, 6.78, 6.74, 6.74, 6.74
2023-02-06, 0.8061, 4.5048, Thüringen, 16, 0.1083, 6.73, 6.7, 6.7, 6.7
