Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 24, , 25
2022-06-15, 7.1, gleichbleibend, 28, 0.3074, 32.1
2022-06-22, -11.4, gleichbleibend, 29, -0.3, 20.7
2022-06-29, 17.2, gleichbleibend, 29, 0.7446, 37.9
2022-07-06, 13.8, gleichbleibend, 29, 0.5974, 51.7
2022-07-13, , gleichbleibend, 29, , 51.7
2022-07-20, 17.3, gleichbleibend, 29, 0.7489, 69
2022-07-27, -38, gleichbleibend, 29, -1, 31
2022-08-03, -10.3, gleichbleibend, 29, -0.2711, 20.7
2022-08-10, -6.9, gleichbleibend, 29, -0.1816, 13.8
2022-08-17, 13.8, gleichbleibend, 29, 0.5974, 27.6
2022-08-24, 6.9, gleichbleibend, 29, 0.2987, 34.5
2022-08-31, 17.2, gleichbleibend, 29, 0.7446, 51.7
2022-09-07, 6.9, gleichbleibend, 29, 0.2987, 58.6
2022-09-14, -24.1, gleichbleibend, 29, -0.6342, 34.5
2022-09-21, -11.9, gleichbleibend, 31, -0.3132, 22.6
2022-09-28, 6.4, gleichbleibend, 31, 0.2771, 29
2022-10-05, 6.5, gleichbleibend, 31, 0.2814, 35.5
2022-10-12, 19, gleichbleibend, 44, 0.8225, 54.5
2022-10-19, -10.1, gleichbleibend, 45, -0.2658, 44.4
2022-10-26, 1.3, gleichbleibend, 46, 0.0563, 45.7
2022-11-02, 1.1, gleichbleibend, 47, 0.0476, 46.8
2022-11-09, -4.2, gleichbleibend, 47, -0.1105, 42.6
2022-11-16, 5.3, gleichbleibend, 48, 0.2294, 47.9
2022-11-23, 17.4, gleichbleibend, 49, 0.7532, 65.3
2022-11-30, -14.3, gleichbleibend, 49, -0.3763, 51
2022-12-07, -5, gleichbleibend, 50, -0.1316, 46
2022-12-14, -6.8, gleichbleibend, 51, -0.1789, 39.2
2022-12-21, 15.7, gleichbleibend, 51, 0.6797, 54.9
2022-12-28, 8.6, gleichbleibend, 52, 0.3723, 63.5
2023-01-04, -25, gleichbleibend, 52, -0.6579, 38.5
2023-01-11, 3.8, gleichbleibend, 52, 0.1645, 42.3
2023-01-18, 7.7, gleichbleibend, 52, 0.3333, 50
2023-01-25, -7.7, gleichbleibend, 52, -0.2026, 42.3
2023-02-01, -1.9, gleichbleibend, 52, -0.05, 40.4
2023-02-08, -15.4, gleichbleibend, 52, -0.4053, 25
2023-02-15, , gleichbleibend, 52, , 25
2023-02-22, 23.1, gleichbleibend, 52, 1, 48.1
2023-03-01, 17.3, gleichbleibend, 52, 0.7489, 65.4
2023-03-08, -5.8, gleichbleibend, 52, -0.1526, 59.6
2023-03-15, , gleichbleibend, 52, , 59.6
2023-03-22, -19.2, gleichbleibend, 52, -0.5053, 40.4
2023-03-29, -2.1, gleichbleibend, 47, -0.0553, 38.3
2023-04-05, -0.8, gleichbleibend, 32, -0.0211, 37.5
2023-04-12, -14.4, gleichbleibend, 26, -0.3789, 23.1
