Altersgruppe, Week, difference, trend, value
5-14, 2020-W11, , , 
5-14, 2020-W12, , , 
5-14, 2020-W13, , , 
5-14, 2020-W14, , , 
5-14, 2020-W15, , , 
5-14, 2020-W16, , , 
5-14, 2020-W17, , , 
5-14, 2020-W18, , , 
5-14, 2020-W19, , , 
5-14, 2020-W20, , , 
5-14, 2020-W21, , , 
5-14, 2020-W22, , , 
5-14, 2020-W23, , , 
5-14, 2020-W24, , , 
5-14, 2020-W25, , , 
5-14, 2020-W26, , , 
5-14, 2020-W27, , , 
5-14, 2020-W28, , , 
5-14, 2020-W29, , , 
5-14, 2020-W30, , , 
5-14, 2020-W31, , , 
5-14, 2020-W32, , , 
5-14, 2020-W33, , , 
5-14, 2020-W34, , , 
5-14, 2020-W35, , , 
5-14, 2020-W36, , , 
5-14, 2020-W37, , , 
5-14, 2020-W38, , , 
5-14, 2020-W39, , , 
5-14, 2020-W40, , , 
5-14, 2020-W41, , , 
5-14, 2020-W42, , , 
5-14, 2020-W43, , , 
5-14, 2020-W44, 1, 0.3333, 1
5-14, 2020-W45, -1, -0.3333, 
5-14, 2020-W46, , , 
5-14, 2020-W47, , , 
5-14, 2020-W48, , , 
5-14, 2020-W49, , , 
5-14, 2020-W50, 1, 0.3333, 1
5-14, 2020-W51, 1, 0.3333, 2
5-14, 2020-W52, -2, -0.6667, 
5-14, 2020-W53, , , 
5-14, 2021-W01, , , 
5-14, 2021-W02, , , 
5-14, 2021-W03, , , 
5-14, 2021-W04, , , 
5-14, 2021-W05, , , 
5-14, 2021-W06, , , 
5-14, 2021-W07, 1, 0.3333, 1
5-14, 2021-W08, -1, -0.3333, 
5-14, 2021-W09, , , 
5-14, 2021-W10, , , 
5-14, 2021-W11, , , 
5-14, 2021-W12, , , 
5-14, 2021-W13, , , 
5-14, 2021-W14, , , 
5-14, 2021-W15, , , 
5-14, 2021-W16, , , 
5-14, 2021-W17, , , 
5-14, 2021-W18, , , 
5-14, 2021-W19, 1, 0.3333, 1
5-14, 2021-W20, -1, -0.3333, 
5-14, 2021-W21, , , 
5-14, 2021-W22, , , 
5-14, 2021-W23, , , 
5-14, 2021-W24, , , 
5-14, 2021-W25, , , 
5-14, 2021-W26, , , 
5-14, 2021-W27, , , 
5-14, 2021-W28, , , 
5-14, 2021-W29, , , 
5-14, 2021-W30, , , 
5-14, 2021-W31, , , 
5-14, 2021-W32, , , 
5-14, 2021-W33, , , 
5-14, 2021-W34, , , 
5-14, 2021-W35, , , 
5-14, 2021-W36, 1, 0.3333, 1
5-14, 2021-W37, -1, -0.3333, 
5-14, 2021-W38, , , 
5-14, 2021-W39, , , 
5-14, 2021-W40, , , 
5-14, 2021-W41, , , 
5-14, 2021-W42, , , 
5-14, 2021-W43, 1, 0.3333, 1
5-14, 2021-W44, 1, 0.3333, 2
5-14, 2021-W45, -1, -0.3333, 1
