Week, difference, region, region_id, trend, value
2020-W11, , Niedersachsen, 3, , 
2020-W12, 1, Niedersachsen, 3, 0.0089, 1
2020-W13, 17, Niedersachsen, 3, 0.1518, 18
2020-W14, 51, Niedersachsen, 3, 0.4554, 69
2020-W15, 27, Niedersachsen, 3, 0.2411, 96
2020-W16, 4, Niedersachsen, 3, 0.0357, 100
2020-W17, , Niedersachsen, 3, , 100
2020-W18, -31, Niedersachsen, 3, -0.3605, 69
2020-W19, -25, Niedersachsen, 3, -0.2907, 44
2020-W20, -2, Niedersachsen, 3, -0.0233, 42
2020-W21, -16, Niedersachsen, 3, -0.186, 26
2020-W22, -4, Niedersachsen, 3, -0.0465, 22
2020-W23, -9, Niedersachsen, 3, -0.1047, 13
2020-W24, -5, Niedersachsen, 3, -0.0581, 8
2020-W25, -4, Niedersachsen, 3, -0.0465, 4
2020-W26, 6, Niedersachsen, 3, 0.0536, 10
2020-W27, -2, Niedersachsen, 3, -0.0233, 8
2020-W28, -1, Niedersachsen, 3, -0.0116, 7
2020-W29, -5, Niedersachsen, 3, -0.0581, 2
2020-W30, 1, Niedersachsen, 3, 0.0089, 3
2020-W31, -1, Niedersachsen, 3, -0.0116, 2
2020-W32, -1, Niedersachsen, 3, -0.0116, 1
2020-W33, 1, Niedersachsen, 3, 0.0089, 2
2020-W34, 2, Niedersachsen, 3, 0.0179, 4
2020-W35, , Niedersachsen, 3, , 4
2020-W36, -1, Niedersachsen, 3, -0.0116, 3
2020-W37, -1, Niedersachsen, 3, -0.0116, 2
2020-W38, , Niedersachsen, 3, , 2
2020-W39, 11, Niedersachsen, 3, 0.0982, 13
2020-W40, -6, Niedersachsen, 3, -0.0698, 7
2020-W41, -1, Niedersachsen, 3, -0.0116, 6
2020-W42, 12, Niedersachsen, 3, 0.1071, 18
2020-W43, , Niedersachsen, 3, , 18
2020-W44, 5, Niedersachsen, 3, 0.0446, 23
2020-W45, 47, Niedersachsen, 3, 0.4196, 70
2020-W46, 13, Niedersachsen, 3, 0.1161, 83
2020-W47, 18, Niedersachsen, 3, 0.1607, 101
2020-W48, 40, Niedersachsen, 3, 0.3571, 141
2020-W49, -29, Niedersachsen, 3, -0.3372, 112
2020-W50, 47, Niedersachsen, 3, 0.4196, 159
2020-W51, 52, Niedersachsen, 3, 0.4643, 211
2020-W52, -59, Niedersachsen, 3, -0.686, 152
2020-W53, 84, Niedersachsen, 3, 0.75, 236
2021-W01, 66, Niedersachsen, 3, 0.5893, 302
2021-W02, -3, Niedersachsen, 3, -0.0349, 299
2021-W03, 37, Niedersachsen, 3, 0.3304, 336
2021-W04, -26, Niedersachsen, 3, -0.3023, 310
2021-W05, -6, Niedersachsen, 3, -0.0698, 304
2021-W06, -48, Niedersachsen, 3, -0.5581, 256
2021-W07, 5, Niedersachsen, 3, 0.0446, 261
2021-W08, -58, Niedersachsen, 3, -0.6744, 203
2021-W09, -53, Niedersachsen, 3, -0.6163, 150
2021-W10, 11, Niedersachsen, 3, 0.0982, 161
2021-W11, -34, Niedersachsen, 3, -0.3953, 127
2021-W12, -38, Niedersachsen, 3, -0.4419, 89
2021-W13, -2, Niedersachsen, 3, -0.0233, 87
2021-W14, 26, Niedersachsen, 3, 0.2321, 113
2021-W15, -12, Niedersachsen, 3, -0.1395, 101
