Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-04-28, -0.8651, 2.2919, Bayern, 9, -0.138, 2.29, , , 
2023-04-27, -0.8651, 2.4285, Bayern, 9, -0.138, 2.61, , , 
2023-04-26, -0.6375, 2.641, Bayern, 9, -0.1017, 2.94, , , 
2023-04-25, -1.624, 2.5499, Bayern, 9, -0.2591, 3.13, 3.43, 3.52, 3.84
2023-04-24, -0.3339, 2.7548, Bayern, 9, -0.0533, 3.35, 3.58, 3.64, 3.7
2023-04-23, -0.4174, 2.8459, Bayern, 9, -0.0666, 3.39, 3.63, 3.68, 3.74
2023-04-22, -0.4781, 2.9293, Bayern, 9, -0.0763, 3.4, 3.63, 3.69, 3.74
2023-04-21, 0.2732, 3.157, Bayern, 9, 0.0232, 3.71, 3.94, 4, 4.06
2023-04-20, 0.4857, 3.2936, Bayern, 9, 0.0413, 3.93, 4.15, 4.21, 4.27
2023-04-19, 0.5995, 3.2784, Bayern, 9, 0.0509, 3.95, 4.13, 4.18, 4.24
2023-04-18, 2.1021, 4.1739, Bayern, 9, 0.1786, 5.22, 5.42, 5.48, 5.55
2023-04-17, -0.7665, 3.0887, Bayern, 9, -0.1223, 4.14, 4.27, 4.32, 4.37
2023-04-16, -0.7361, 3.2633, Bayern, 9, -0.1174, 4.24, 4.37, 4.42, 4.47
2023-04-15, -0.7513, 3.4075, Bayern, 9, -0.1199, 4.32, 4.45, 4.49, 4.54
2023-04-14, -2.049, 2.8838, Bayern, 9, -0.3269, 3.82, 3.93, 3.97, 4.01
2023-04-13, -1.9959, 2.8079, Bayern, 9, -0.3184, 3.82, 3.91, 3.94, 3.98
2023-04-12, -2.1705, 2.6789, Bayern, 9, -0.3462, 3.94, 4.02, 4.05, 4.09
2023-04-11, -2.512, 2.0718, Bayern, 9, -0.4007, 3.35, 3.41, 3.42, 3.45
2023-04-10, -1.6468, 3.8552, Bayern, 9, -0.2627, 5.27, 5.34, 5.36, 5.4
2023-04-09, -1.7455, 3.9994, Bayern, 9, -0.2785, 5.22, 5.29, 5.31, 5.35
2023-04-08, -1.7531, 4.1588, Bayern, 9, -0.2797, 5.24, 5.3, 5.33, 5.36
2023-04-07, -1.1915, 4.9328, Bayern, 9, -0.1901, 5.97, 6.05, 6.07, 6.11
2023-04-06, -1.7303, 4.8038, Bayern, 9, -0.276, 6.06, 6.12, 6.15, 6.18
2023-04-05, -1.791, 4.8494, Bayern, 9, -0.2857, 6.34, 6.4, 6.42, 6.46
2023-04-04, -1.7303, 4.5837, Bayern, 9, -0.276, 6.53, 6.59, 6.61, 6.64
2023-04-03, -1.7075, 5.502, Bayern, 9, -0.2724, 7.08, 7.13, 7.15, 7.18
2023-04-02, -1.7455, 5.7449, Bayern, 9, -0.2785, 7.18, 7.23, 7.25, 7.28
2023-04-01, -1.7682, 5.9118, Bayern, 9, -0.2821, 7.19, 7.23, 7.25, 7.28
2023-03-31, -1.8365, 6.1243, Bayern, 9, -0.293, 7.47, 7.51, 7.53, 7.56
2023-03-30, -1.4874, 6.5341, Bayern, 9, -0.2373, 8.08, 8.13, 8.14, 8.17
2023-03-29, -1.3888, 6.6404, Bayern, 9, -0.2215, 8.64, 8.68, 8.69, 8.72
2023-03-28, -1.7531, 6.314, Bayern, 9, -0.2797, 8.95, 8.99, 9, 9.03
2023-03-27, -1.1915, 7.2095, Bayern, 9, -0.1901, 9.6, 9.63, 9.64, 9.66
2023-03-26, -1.2749, 7.4903, Bayern, 9, -0.2034, 9.65, 9.68, 9.69, 9.7
2023-03-25, -1.3281, 7.6801, Bayern, 9, -0.2119, 9.68, 9.71, 9.72, 9.73
2023-03-24, -1.2066, 7.9608, Bayern, 9, -0.1925, 10.18, 10.22, 10.22, 10.24
2023-03-23, -1.5785, 8.0216, Bayern, 9, -0.2518, 10.57, 10.6, 10.61, 10.62
2023-03-22, -1.4419, 8.0291, Bayern, 9, -0.23, 10.74, 10.77, 10.77, 10.78
2023-03-21, -1.4343, 8.0671, Bayern, 9, -0.2288, 11.18, 11.21, 11.21, 11.21
2023-03-20, -1.1308, 8.401, Bayern, 9, -0.1804, 11.63, 11.67, 11.67, 11.67
2023-03-19, -1.1156, 8.7653, Bayern, 9, -0.178, 11.73, 11.77, 11.77, 11.77
2023-03-18, -1.108, 9.0081, Bayern, 9, -0.1768, 11.78, 11.81, 11.81, 11.81
2023-03-17, -0.7361, 9.1675, Bayern, 9, -0.1174, 12.04, 12.07, 12.07, 12.07
2023-03-16, -0.3567, 9.6001, Bayern, 9, -0.0569, 12.15, 12.18, 12.18, 12.18
2023-03-15, -0.4933, 9.4711, Bayern, 9, -0.0787, 12.38, 12.41, 12.41, 12.41
2023-03-14, -0.7817, 9.5014, Bayern, 9, -0.1247, 12.64, 12.67, 12.67, 12.67
2023-03-13, -1.6468, 9.5318, Bayern, 9, -0.2627, 13.02, 13.06, 13.06, 13.06
2023-03-12, -1.7986, 9.8809, Bayern, 9, -0.2869, 12.98, 13.02, 13.02, 13.02
2023-03-11, -1.9124, 10.1161, Bayern, 9, -0.3051, 13, 13.04, 13.04, 13.04
2023-03-10, -2.5044, 9.9036, Bayern, 9, -0.3995, 12.86, 12.89, 12.89, 12.89
2023-03-09, -2.7093, 9.9568, Bayern, 9, -0.4322, 13.34, 13.38, 13.38, 13.38
2023-03-08, -4.2498, 9.9643, Bayern, 9, -0.678, 13.63, 13.67, 13.67, 13.67
2023-03-07, -2.7093, 10.2831, Bayern, 9, -0.4322, 14.35, 14.39, 14.39, 14.39
2023-03-06, -2.1705, 11.1786, Bayern, 9, -0.3462, 15.41, 15.46, 15.46, 15.46
