Week, difference, region, region_id, trend, value
2020-W11, , Hamburg, 2, , 
2020-W12, 1, Hamburg, 2, 0.037, 1
2020-W13, 4, Hamburg, 2, 0.1481, 5
2020-W14, 12, Hamburg, 2, 0.4444, 17
2020-W15, 24, Hamburg, 2, 0.8889, 41
2020-W16, -4, Hamburg, 2, -0.1333, 37
2020-W17, 13, Hamburg, 2, 0.4815, 50
2020-W18, -20, Hamburg, 2, -0.6667, 30
2020-W19, 5, Hamburg, 2, 0.1852, 35
2020-W20, -19, Hamburg, 2, -0.6333, 16
2020-W21, -7, Hamburg, 2, -0.2333, 9
2020-W22, 2, Hamburg, 2, 0.0741, 11
2020-W23, -9, Hamburg, 2, -0.3, 2
2020-W24, -1, Hamburg, 2, -0.0333, 1
2020-W25, 3, Hamburg, 2, 0.1111, 4
2020-W26, -4, Hamburg, 2, -0.1333, 
2020-W27, 1, Hamburg, 2, 0.037, 1
2020-W28, -1, Hamburg, 2, -0.0333, 
2020-W29, 1, Hamburg, 2, 0.037, 1
2020-W30, -1, Hamburg, 2, -0.0333, 
2020-W31, , Hamburg, 2, , 
2020-W32, 1, Hamburg, 2, 0.037, 1
2020-W33, 1, Hamburg, 2, 0.037, 2
2020-W34, -1, Hamburg, 2, -0.0333, 1
2020-W35, , Hamburg, 2, , 1
2020-W36, , Hamburg, 2, , 1
2020-W37, , Hamburg, 2, , 1
2020-W38, , Hamburg, 2, , 1
2020-W39, -1, Hamburg, 2, -0.0333, 
2020-W40, 3, Hamburg, 2, 0.1111, 3
2020-W41, 2, Hamburg, 2, 0.0741, 5
2020-W42, -2, Hamburg, 2, -0.0667, 3
2020-W43, , Hamburg, 2, , 3
2020-W44, -1, Hamburg, 2, -0.0333, 2
2020-W45, 17, Hamburg, 2, 0.6296, 19
2020-W46, -12, Hamburg, 2, -0.4, 7
2020-W47, 18, Hamburg, 2, 0.6667, 25
2020-W48, 10, Hamburg, 2, 0.3704, 35
2020-W49, 13, Hamburg, 2, 0.4815, 48
2020-W50, 11, Hamburg, 2, 0.4074, 59
2020-W51, 8, Hamburg, 2, 0.2963, 67
2020-W52, -26, Hamburg, 2, -0.8667, 41
2020-W53, 34, Hamburg, 2, 1.2593, 75
2021-W01, 81, Hamburg, 2, 3, 156
2021-W02, -69, Hamburg, 2, -2.3, 87
2021-W03, -6, Hamburg, 2, -0.2, 81
2021-W04, 3, Hamburg, 2, 0.1111, 84
2021-W05, -13, Hamburg, 2, -0.4333, 71
2021-W06, -17, Hamburg, 2, -0.5667, 54
2021-W07, -27, Hamburg, 2, -0.9, 27
2021-W08, 19, Hamburg, 2, 0.7037, 46
2021-W09, -4, Hamburg, 2, -0.1333, 42
2021-W10, -22, Hamburg, 2, -0.7333, 20
2021-W11, -4, Hamburg, 2, -0.1333, 16
2021-W12, 8, Hamburg, 2, 0.2963, 24
2021-W13, 1, Hamburg, 2, 0.037, 25
2021-W14, -11, Hamburg, 2, -0.3667, 14
2021-W15, 6, Hamburg, 2, 0.2222, 20
2021-W16, 9, Hamburg, 2, 0.3333, 29
2021-W17, 12, Hamburg, 2, 0.4444, 41
2021-W18, -23, Hamburg, 2, -0.7667, 18
2021-W19, -4, Hamburg, 2, -0.1333, 14
2021-W20, -2, Hamburg, 2, -0.0667, 12
2021-W21, 6, Hamburg, 2, 0.2222, 18
2021-W22, -10, Hamburg, 2, -0.3333, 8
2021-W23, 1, Hamburg, 2, 0.037, 9
2021-W24, -2, Hamburg, 2, -0.0667, 7
2021-W25, -4, Hamburg, 2, -0.1333, 3
2021-W26, 4, Hamburg, 2, 0.1481, 7
2021-W27, -2, Hamburg, 2, -0.0667, 5
2021-W28, -2, Hamburg, 2, -0.0667, 3
2021-W29, -1, Hamburg, 2, -0.0333, 2
2021-W30, 6, Hamburg, 2, 0.2222, 8
2021-W31, 3, Hamburg, 2, 0.1111, 11
2021-W32, -3, Hamburg, 2, -0.1, 8
2021-W33, -6, Hamburg, 2, -0.2, 2
2021-W34, 4, Hamburg, 2, 0.1481, 6
2021-W35, 7, Hamburg, 2, 0.2593, 13
2021-W36, -8, Hamburg, 2, -0.2667, 5
2021-W37, 27, Hamburg, 2, 1, 32
2021-W38, -4, Hamburg, 2, -0.1333, 28
2021-W39, -6, Hamburg, 2, -0.2, 22
2021-W40, -9, Hamburg, 2, -0.3, 13
2021-W41, -4, Hamburg, 2, -0.1333, 9
2021-W42, 15, Hamburg, 2, 0.5556, 24
2021-W43, 10, Hamburg, 2, 0.3704, 34
2021-W44, -18, Hamburg, 2, -0.6, 16
2021-W45, -7, Hamburg, 2, -0.2333, 9
2021-W46, 13, Hamburg, 2, 0.4815, 22
2021-W47, -3, Hamburg, 2, -0.1, 19
2021-W48, -4, Hamburg, 2, -0.1333, 15
2021-W49, 7, Hamburg, 2, 0.2593, 22
2021-W50, 7, Hamburg, 2, 0.2593, 29
2021-W51, -13, Hamburg, 2, -0.4333, 16
2021-W52, 9, Hamburg, 2, 0.3333, 25
2022-W01, 7, Hamburg, 2, 0.2593, 32
2022-W02, -14, Hamburg, 2, -0.4667, 18
2022-W03, 7, Hamburg, 2, 0.2593, 25
2022-W04, 28, Hamburg, 2, 1.037, 53
2022-W05, -12, Hamburg, 2, -0.4, 41
2022-W06, -2, Hamburg, 2, -0.0667, 39
2022-W07, 21, Hamburg, 2, 0.7778, 60
2022-W08, -35, Hamburg, 2, -1.1667, 25
2022-W09, 2, Hamburg, 2, 0.0741, 27
2022-W10, -4, Hamburg, 2, -0.1333, 23
2022-W11, -14, Hamburg, 2, -0.4667, 9
2022-W12, 14, Hamburg, 2, 0.5185, 23
2022-W13, , Hamburg, 2, , 23
2022-W14, 18, Hamburg, 2, 0.6667, 41
2022-W15, 1, Hamburg, 2, 0.037, 42
2022-W16, -18, Hamburg, 2, -0.6, 24
2022-W17, 2, Hamburg, 2, 0.0741, 26
2022-W18, 23, Hamburg, 2, 0.8519, 49
2022-W19, -4, Hamburg, 2, -0.1333, 45
2022-W20, -25, Hamburg, 2, -0.8333, 20
2022-W21, -14, Hamburg, 2, -0.4667, 6
2022-W22, 6, Hamburg, 2, 0.2222, 12
2022-W23, 9, Hamburg, 2, 0.3333, 21
2022-W24, -6, Hamburg, 2, -0.2, 15
2022-W25, 7, Hamburg, 2, 0.2593, 22
2022-W26, -11, Hamburg, 2, -0.3667, 11
2022-W27, 7, Hamburg, 2, 0.2593, 18
2022-W28, -5, Hamburg, 2, -0.1667, 13
2022-W29, 21, Hamburg, 2, 0.7778, 34
2022-W30, 2, Hamburg, 2, 0.0741, 36
2022-W31, -10, Hamburg, 2, -0.3333, 26
2022-W32, 16, Hamburg, 2, 0.5926, 42
2022-W33, -15, Hamburg, 2, -0.5, 27
2022-W34, 5, Hamburg, 2, 0.1852, 32
2022-W35, -4, Hamburg, 2, -0.1333, 28
2022-W36, , Hamburg, 2, , 28
2022-W37, -18, Hamburg, 2, -0.6, 10
