Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-05-03, -0.8556, 3.7988, Schleswig-Holstein, 1, -0.119, 3.8, , , 
2023-05-02, -2.1903, 2.3614, Schleswig-Holstein, 1, -0.3048, 3.66, , , 
2023-05-01, -1.0951, 3.7988, Schleswig-Holstein, 1, -0.1524, 4.96, , , 
2023-04-30, -1.0609, 4.0041, Schleswig-Holstein, 1, -0.1476, 5, 5.64, 5.95, 7.09
2023-04-29, -1.1294, 4.2094, Schleswig-Holstein, 1, -0.1571, 5.07, 5.69, 5.81, 5.98
2023-04-28, -1.3689, 4.2094, Schleswig-Holstein, 1, -0.1905, 4.69, 5.11, 5.22, 5.34
2023-04-27, -1.8138, 4.1068, Schleswig-Holstein, 1, -0.2524, 5.2, 5.55, 5.67, 5.8
2023-04-26, -0.924, 4.6543, Schleswig-Holstein, 1, -0.1286, 5.51, 5.83, 5.94, 6.07
2023-04-25, -2.2929, 4.5517, Schleswig-Holstein, 1, -0.319, 6.06, 6.34, 6.46, 6.6
2023-04-24, -0.1711, 4.8939, Schleswig-Holstein, 1, -0.0238, 6.84, 7.11, 7.2, 7.33
2023-04-23, -0.1369, 5.065, Schleswig-Holstein, 1, -0.019, 6.81, 7.07, 7.16, 7.29
2023-04-22, -0.0684, 5.3388, Schleswig-Holstein, 1, -0.0095, 6.88, 7.13, 7.22, 7.35
2023-04-21, 0.924, 5.5784, Schleswig-Holstein, 1, 0.1262, 7.19, 7.43, 7.51, 7.64
2023-04-20, 1.232, 5.9206, Schleswig-Holstein, 1, 0.1682, 7.22, 7.44, 7.51, 7.63
2023-04-19, 2.1561, 5.5784, Schleswig-Holstein, 1, 0.2944, 7.12, 7.32, 7.38, 7.5
2023-04-18, 4.3806, 6.8446, Schleswig-Holstein, 1, 0.5981, 8.8, 8.99, 9.07, 9.19
2023-04-17, 1.0267, 5.065, Schleswig-Holstein, 1, 0.1402, 6.95, 7.08, 7.14, 7.23
2023-04-16, 0.8556, 5.2019, Schleswig-Holstein, 1, 0.1168, 6.95, 7.07, 7.13, 7.22
2023-04-15, 0.8556, 5.4072, Schleswig-Holstein, 1, 0.1168, 6.91, 7.04, 7.09, 7.18
