Week, difference, region, region_id, trend, value
2020-W11, , Bremen, 4, , 
2020-W12, , Bremen, 4, , 
2020-W13, 2, Bremen, 4, 0.25, 2
2020-W14, 2, Bremen, 4, 0.25, 4
2020-W15, 5, Bremen, 4, 0.625, 9
2020-W16, , Bremen, 4, , 9
2020-W17, -6, Bremen, 4, -0.5455, 3
2020-W18, , Bremen, 4, , 3
2020-W19, -1, Bremen, 4, -0.0909, 2
2020-W20, 2, Bremen, 4, 0.25, 4
2020-W21, , Bremen, 4, , 4
2020-W22, -2, Bremen, 4, -0.1818, 2
2020-W23, 1, Bremen, 4, 0.125, 3
2020-W24, -1, Bremen, 4, -0.0909, 2
2020-W25, 1, Bremen, 4, 0.125, 3
2020-W26, -2, Bremen, 4, -0.1818, 1
2020-W27, 2, Bremen, 4, 0.25, 3
2020-W28, -1, Bremen, 4, -0.0909, 2
2020-W29, -2, Bremen, 4, -0.1818, 
2020-W30, , Bremen, 4, , 
2020-W31, 1, Bremen, 4, 0.125, 1
2020-W32, -1, Bremen, 4, -0.0909, 
2020-W33, , Bremen, 4, , 
2020-W34, , Bremen, 4, , 
2020-W35, , Bremen, 4, , 
2020-W36, 2, Bremen, 4, 0.25, 2
2020-W37, -2, Bremen, 4, -0.1818, 
2020-W38, , Bremen, 4, , 
2020-W39, , Bremen, 4, , 
2020-W40, , Bremen, 4, , 
2020-W41, 1, Bremen, 4, 0.125, 1
2020-W42, 2, Bremen, 4, 0.25, 3
2020-W43, -2, Bremen, 4, -0.1818, 1
2020-W44, 7, Bremen, 4, 0.875, 8
2020-W45, 6, Bremen, 4, 0.75, 14
2020-W46, -6, Bremen, 4, -0.5455, 8
2020-W47, 4, Bremen, 4, 0.5, 12
2020-W48, -2, Bremen, 4, -0.1818, 10
2020-W49, 10, Bremen, 4, 1.25, 20
2020-W50, -2, Bremen, 4, -0.1818, 18
2020-W51, -4, Bremen, 4, -0.3636, 14
2020-W52, , Bremen, 4, , 14
