Week, difference, region, region_id, trend, value
2020-W11, , Saarland, 10, , 
2020-W12, , Saarland, 10, , 
2020-W13, 2, Saarland, 10, 0.125, 2
2020-W14, 10, Saarland, 10, 0.625, 12
2020-W15, 15, Saarland, 10, 0.9375, 27
2020-W16, 19, Saarland, 10, 1.1875, 46
2020-W17, -31, Saarland, 10, -2.2143, 15
2020-W18, 17, Saarland, 10, 1.0625, 32
2020-W19, -24, Saarland, 10, -1.7143, 8
2020-W20, -1, Saarland, 10, -0.0714, 7
2020-W21, 1, Saarland, 10, 0.0625, 8
2020-W22, -2, Saarland, 10, -0.1429, 6
2020-W23, -3, Saarland, 10, -0.2143, 3
2020-W24, -1, Saarland, 10, -0.0714, 2
2020-W25, -2, Saarland, 10, -0.1429, 
2020-W26, 4, Saarland, 10, 0.25, 4
2020-W27, -3, Saarland, 10, -0.2143, 1
2020-W28, -1, Saarland, 10, -0.0714, 
2020-W29, , Saarland, 10, , 
2020-W30, , Saarland, 10, , 
2020-W31, , Saarland, 10, , 
2020-W32, , Saarland, 10, , 
2020-W33, , Saarland, 10, , 
2020-W34, , Saarland, 10, , 
2020-W35, , Saarland, 10, , 
2020-W36, 1, Saarland, 10, 0.0625, 1
2020-W37, -1, Saarland, 10, -0.0714, 
2020-W38, 1, Saarland, 10, 0.0625, 1
2020-W39, -1, Saarland, 10, -0.0714, 
2020-W40, 1, Saarland, 10, 0.0625, 1
2020-W41, -1, Saarland, 10, -0.0714, 
2020-W42, , Saarland, 10, , 
2020-W43, 1, Saarland, 10, 0.0625, 1
2020-W44, 13, Saarland, 10, 0.8125, 14
2020-W45, -7, Saarland, 10, -0.5, 7
2020-W46, 8, Saarland, 10, 0.5, 15
2020-W47, 7, Saarland, 10, 0.4375, 22
2020-W48, -7, Saarland, 10, -0.5, 15
2020-W49, 5, Saarland, 10, 0.3125, 20
2020-W50, 10, Saarland, 10, 0.625, 30
2020-W51, 21, Saarland, 10, 1.3125, 51
2020-W52, 2, Saarland, 10, 0.125, 53
2020-W53, -17, Saarland, 10, -1.2143, 36
2021-W01, 63, Saarland, 10, 3.9375, 99
2021-W02, -26, Saarland, 10, -1.8571, 73
2021-W03, , Saarland, 10, , 73
2021-W04, -26, Saarland, 10, -1.8571, 47
2021-W05, , Saarland, 10, , 47
2021-W06, -13, Saarland, 10, -0.9286, 34
2021-W07, -3, Saarland, 10, -0.2143, 31
2021-W08, -6, Saarland, 10, -0.4286, 25
2021-W09, -3, Saarland, 10, -0.2143, 22
2021-W10, -3, Saarland, 10, -0.2143, 19
2021-W11, -13, Saarland, 10, -0.9286, 6
2021-W12, , Saarland, 10, , 6
2021-W13, -4, Saarland, 10, -0.2857, 2
2021-W14, 3, Saarland, 10, 0.1875, 5
2021-W15, 5, Saarland, 10, 0.3125, 10
2021-W16, -4, Saarland, 10, -0.2857, 6
2021-W17, 6, Saarland, 10, 0.375, 12
2021-W18, -4, Saarland, 10, -0.2857, 8
2021-W19, 3, Saarland, 10, 0.1875, 11
2021-W20, 7, Saarland, 10, 0.4375, 18
2021-W21, -8, Saarland, 10, -0.5714, 10
2021-W22, -4, Saarland, 10, -0.2857, 6
2021-W23, -2, Saarland, 10, -0.1429, 4
2021-W24, -1, Saarland, 10, -0.0714, 3
2021-W25, -3, Saarland, 10, -0.2143, 
2021-W26, 6, Saarland, 10, 0.375, 6
2021-W27, -4, Saarland, 10, -0.2857, 2
2021-W28, , Saarland, 10, , 2
2021-W29, -2, Saarland, 10, -0.1429, 
2021-W30, , Saarland, 10, , 
2021-W31, 1, Saarland, 10, 0.0625, 1
2021-W32, -1, Saarland, 10, -0.0714, 
2021-W33, , Saarland, 10, , 
2021-W34, 1, Saarland, 10, 0.0625, 1
2021-W35, 3, Saarland, 10, 0.1875, 4
2021-W36, 1, Saarland, 10, 0.0625, 5
2021-W37, , Saarland, 10, , 5
2021-W38, -3, Saarland, 10, -0.2143, 2
2021-W39, 2, Saarland, 10, 0.125, 4
2021-W40, -1, Saarland, 10, -0.0714, 3
2021-W41, 1, Saarland, 10, 0.0625, 4
2021-W42, -1, Saarland, 10, -0.0714, 3
2021-W43, , Saarland, 10, , 3
2021-W44, 4, Saarland, 10, 0.25, 7
2021-W45, 3, Saarland, 10, 0.1875, 10
2021-W46, 2, Saarland, 10, 0.125, 12
2021-W47, 4, Saarland, 10, 0.25, 16
2021-W48, -2, Saarland, 10, -0.1429, 14
2021-W49, 11, Saarland, 10, 0.6875, 25
2021-W50, 23, Saarland, 10, 1.4375, 48
2021-W51, -18, Saarland, 10, -1.2857, 30
2021-W52, -15, Saarland, 10, -1.0714, 15
2022-W01, 2, Saarland, 10, 0.125, 17
2022-W02, 19, Saarland, 10, 1.1875, 36
2022-W03, -20, Saarland, 10, -1.4286, 16
2022-W04, -2, Saarland, 10, -0.1429, 14
2022-W05, -3, Saarland, 10, -0.2143, 11
2022-W06, 2, Saarland, 10, 0.125, 13
2022-W07, 4, Saarland, 10, 0.25, 17
2022-W08, 13, Saarland, 10, 0.8125, 30
2022-W09, -17, Saarland, 10, -1.2143, 13
2022-W10, 11, Saarland, 10, 0.6875, 24
2022-W11, 12, Saarland, 10, 0.75, 36
2022-W12, -8, Saarland, 10, -0.5714, 28
2022-W13, 7, Saarland, 10, 0.4375, 35
2022-W14, -13, Saarland, 10, -0.9286, 22
2022-W15, 2, Saarland, 10, 0.125, 24
2022-W16, 3, Saarland, 10, 0.1875, 27
2022-W17, -5, Saarland, 10, -0.3571, 22
2022-W18, -10, Saarland, 10, -0.7143, 12
2022-W19, 2, Saarland, 10, 0.125, 14
2022-W20, -6, Saarland, 10, -0.4286, 8
2022-W21, -2, Saarland, 10, -0.1429, 6
2022-W22, 12, Saarland, 10, 0.75, 18
2022-W23, -13, Saarland, 10, -0.9286, 5
2022-W24, -5, Saarland, 10, -0.3571, 
2022-W25, 13, Saarland, 10, 0.8125, 13
2022-W26, -8, Saarland, 10, -0.5714, 5
2022-W27, 6, Saarland, 10, 0.375, 11
2022-W28, 1, Saarland, 10, 0.0625, 12
2022-W29, 6, Saarland, 10, 0.375, 18
2022-W30, -6, Saarland, 10, -0.4286, 12
2022-W31, 4, Saarland, 10, 0.25, 16
2022-W32, -6, Saarland, 10, -0.4286, 10
2022-W33, 5, Saarland, 10, 0.3125, 15
2022-W34, -8, Saarland, 10, -0.5714, 7
2022-W35, 2, Saarland, 10, 0.125, 9
2022-W36, -3, Saarland, 10, -0.2143, 6
2022-W37, , Saarland, 10, , 6
2022-W38, 1, Saarland, 10, 0.0625, 7
2022-W39, 3, Saarland, 10, 0.1875, 10
2022-W40, -3, Saarland, 10, -0.2143, 7
2022-W41, 8, Saarland, 10, 0.5, 15
2022-W42, 8, Saarland, 10, 0.5, 23
2022-W43, 1, Saarland, 10, 0.0625, 24
2022-W44, -6, Saarland, 10, -0.4286, 18
2022-W45, -6, Saarland, 10, -0.4286, 12
2022-W46, -1, Saarland, 10, -0.0714, 11
2022-W47, -8, Saarland, 10, -0.5714, 3
2022-W48, 16, Saarland, 10, 1, 19
2022-W49, -12, Saarland, 10, -0.8571, 7
2022-W50, 5, Saarland, 10, 0.3125, 12
2022-W51, -6, Saarland, 10, -0.4286, 6
2022-W52, 8, Saarland, 10, 0.5, 14
2023-W01, 6, Saarland, 10, 0.375, 20
2023-W02, -14, Saarland, 10, -1, 6
2023-W03, 6, Saarland, 10, 0.375, 12
2023-W04, 9, Saarland, 10, 0.5625, 21
2023-W05, -7, Saarland, 10, -0.5, 14
2023-W06, 2, Saarland, 10, 0.125, 16
2023-W07, -11, Saarland, 10, -0.7857, 5
2023-W08, -1, Saarland, 10, -0.0714, 4
2023-W09, 9, Saarland, 10, 0.5625, 13
2023-W10, , Saarland, 10, , 13
2023-W11, -3, Saarland, 10, -0.2143, 10
2023-W12, -1, Saarland, 10, -0.0714, 9
2023-W13, 6, Saarland, 10, 0.375, 15
2023-W14, -10, Saarland, 10, -0.7143, 5
2023-W15, 4, Saarland, 10, 0.25, 9
2023-W16, -6, Saarland, 10, -0.4286, 3
2023-W17, 3, Saarland, 10, 0.1875, 6
2023-W18, -6, Saarland, 10, -0.4286, 
