Week, difference, region, region_id, trend, value
2020-W11, , Sachsen, 14, , 
2020-W12, , Sachsen, 14, , 
2020-W13, 9, Sachsen, 14, 0.1765, 9
2020-W14, 14, Sachsen, 14, 0.2745, 23
2020-W15, 10, Sachsen, 14, 0.1961, 33
2020-W16, 8, Sachsen, 14, 0.1569, 41
2020-W17, , Sachsen, 14, , 41
2020-W18, -22, Sachsen, 14, -0.3667, 19
2020-W19, 3, Sachsen, 14, 0.0588, 22
2020-W20, -13, Sachsen, 14, -0.2167, 9
2020-W21, -1, Sachsen, 14, -0.0167, 8
2020-W22, 1, Sachsen, 14, 0.0196, 9
2020-W23, -6, Sachsen, 14, -0.1, 3
2020-W24, 2, Sachsen, 14, 0.0392, 5
2020-W25, -4, Sachsen, 14, -0.0667, 1
2020-W26, , Sachsen, 14, , 1
2020-W27, 1, Sachsen, 14, 0.0196, 2
2020-W28, -1, Sachsen, 14, -0.0167, 1
2020-W29, -1, Sachsen, 14, -0.0167, 
2020-W30, , Sachsen, 14, , 
2020-W31, , Sachsen, 14, , 
2020-W32, , Sachsen, 14, , 
2020-W33, , Sachsen, 14, , 
2020-W34, , Sachsen, 14, , 
2020-W35, , Sachsen, 14, , 
2020-W36, , Sachsen, 14, , 
2020-W37, 1, Sachsen, 14, 0.0196, 1
2020-W38, -1, Sachsen, 14, -0.0167, 
2020-W39, 7, Sachsen, 14, 0.1373, 7
2020-W40, -1, Sachsen, 14, -0.0167, 6
2020-W41, 2, Sachsen, 14, 0.0392, 8
2020-W42, 1, Sachsen, 14, 0.0196, 9
2020-W43, 11, Sachsen, 14, 0.2157, 20
2020-W44, 23, Sachsen, 14, 0.451, 43
2020-W45, 35, Sachsen, 14, 0.6863, 78
2020-W46, 36, Sachsen, 14, 0.7059, 114
2020-W47, 24, Sachsen, 14, 0.4706, 138
2020-W48, 95, Sachsen, 14, 1.8627, 233
2020-W49, 161, Sachsen, 14, 3.1569, 394
2020-W50, -22, Sachsen, 14, -0.3667, 372
2020-W51, 190, Sachsen, 14, 3.7255, 562
2020-W52, -74, Sachsen, 14, -1.2333, 488
2020-W53, 159, Sachsen, 14, 3.1176, 647
2021-W01, 62, Sachsen, 14, 1.2157, 709
2021-W02, 301, Sachsen, 14, 5.902, 1010
2021-W03, -363, Sachsen, 14, -6.05, 647
2021-W04, -83, Sachsen, 14, -1.3833, 564
2021-W05, -91, Sachsen, 14, -1.5167, 473
2021-W06, -109, Sachsen, 14, -1.8167, 364
