Meldedatum, region, region_id, value, difference, trend
2020-03-02, Hamburg, 2, 0.1, , 
2020-03-03, Hamburg, 2, 0.1, , 
2020-03-04, Hamburg, 2, 0.3, , 
2020-03-05, Hamburg, 2, 0.3, , 
2020-03-06, Hamburg, 2, 0.6, , 
2020-03-07, Hamburg, 2, 0.8, , 
2020-03-08, Hamburg, 2, 0.9, , 
2020-03-09, Hamburg, 2, 1.1, , 
2020-03-10, Hamburg, 2, 2.3, , 
2020-03-11, Hamburg, 2, 3.7, 0.7012, 0.0023
2020-03-12, Hamburg, 2, 5.2, 3.0206, 0.0097
2020-03-13, Hamburg, 2, 7.2, 4.7467, 0.0153
2020-03-14, Hamburg, 2, 9.1, 5.7176, 0.0184
2020-03-15, Hamburg, 2, 13.1, 7.8212, 0.0252
2020-03-16, Hamburg, 2, 17, 12.6218, 0.0406
2020-03-17, Hamburg, 2, 20.2, 14.5636, 0.0469
2020-03-18, Hamburg, 2, 25.8, 15.103, 0.0486
2020-03-19, Hamburg, 2, 31.5, 15.4266, 0.0497
2020-03-20, Hamburg, 2, 39.3, 19.7418, 0.0636
2020-03-21, Hamburg, 2, 45.1, 17.2066, 0.0554
2020-03-22, Hamburg, 2, 46.5, 26.3224, 0.0848
2020-03-23, Hamburg, 2, 50.4, 21.36, 0.0688
2020-03-24, Hamburg, 2, 53.2, 21.1442, 0.0681
2020-03-25, Hamburg, 2, 57.1, 24.866, 0.0801
2020-03-26, Hamburg, 2, 58.6, 15.5345, 0.05
2020-03-27, Hamburg, 2, 57.8, 22.0612, 0.071
2020-03-28, Hamburg, 2, 57.6, 20.443, 0.0658
2020-03-29, Hamburg, 2, 59.7, 7.5515, 0.0243
2020-03-30, Hamburg, 2, 57.9, 11.3812, 0.0367
2020-03-31, Hamburg, 2, 54.6, 9.1697, 0.0295
2020-04-01, Hamburg, 2, 52.1, 0.863, 0.0028
2020-04-02, Hamburg, 2, 50.8, 5.2321, 0.0168
2020-04-03, Hamburg, 2, 50.5, -4.9085, -0.024
2020-04-04, Hamburg, 2, 51.4, -3.8836, -0.019
2020-04-05, Hamburg, 2, 49.4, 3.2364, 0.0104
2020-04-06, Hamburg, 2, 49, -3.6679, -0.0179
2020-04-07, Hamburg, 2, 50.2, -3.5061, -0.0171
2020-04-08, Hamburg, 2, 52.9, -2.3733, -0.0116
2020-04-09, Hamburg, 2, 51.8, 1.3485, 0.0043
2020-04-10, Hamburg, 2, 49, 2.0497, 0.0066
2020-04-11, Hamburg, 2, 45.6, 2.1036, 0.0068
2020-04-12, Hamburg, 2, 44, -4.8545, -0.0237
2020-04-13, Hamburg, 2, 40.6, -5.7176, -0.0279
2020-04-14, Hamburg, 2, 37.8, -8.9, -0.0435
2020-04-15, Hamburg, 2, 30.7, -13.2691, -0.0649
2020-04-16, Hamburg, 2, 28.9, -15.9121, -0.0778
2020-04-17, Hamburg, 2, 26.7, -22.4927, -0.1099
2020-04-18, Hamburg, 2, 27.2, -19.8497, -0.097
2020-04-19, Hamburg, 2, 25.1, -20.0115, -0.0978
2020-04-20, Hamburg, 2, 23.8, -17.3145, -0.0846
2020-04-21, Hamburg, 2, 23.4, -15.0491, -0.0736
2020-04-22, Hamburg, 2, 22.3, -11.543, -0.0564
2020-04-23, Hamburg, 2, 20.5, -10.0327, -0.049
2020-04-24, Hamburg, 2, 19.2, -6.203, -0.0303
2020-04-25, Hamburg, 2, 15.7, -9.6551, -0.0472
2020-04-26, Hamburg, 2, 16, -8.2527, -0.0403
2020-04-27, Hamburg, 2, 15.7, -5.2321, -0.0256
2020-04-28, Hamburg, 2, 15, -3.7758, -0.0185
2020-04-29, Hamburg, 2, 13.3, -2.8588, -0.014
2020-04-30, Hamburg, 2, 12.9, -4.423, -0.0216
2020-05-01, Hamburg, 2, 11.7, -5.5018, -0.0269
2020-05-02, Hamburg, 2, 9.9, -4.423, -0.0216
2020-05-03, Hamburg, 2, 8.3, -5.4479, -0.0266
2020-05-04, Hamburg, 2, 7.5, -7.7133, -0.0377
2020-05-05, Hamburg, 2, 6.9, -8.4685, -0.0414
2020-05-06, Hamburg, 2, 6.6, -6.4727, -0.0316
2020-05-07, Hamburg, 2, 5.5, -5.7176, -0.0279
2020-05-08, Hamburg, 2, 5.1, -4.9624, -0.0243
2020-05-09, Hamburg, 2, 5.2, -2.9667, -0.0145
2020-05-10, Hamburg, 2, 5, -2.2115, -0.0108
2020-05-11, Hamburg, 2, 5, -1.2406, -0.0061
2020-05-12, Hamburg, 2, 4.7, -0.8091, -0.004
2020-05-13, Hamburg, 2, 3.7, -1.1327, -0.0055
2020-05-14, Hamburg, 2, 3.1, -1.5103, -0.0074
2020-05-15, Hamburg, 2, 2.7, -2.1036, -0.0103
2020-05-16, Hamburg, 2, 2.8, -2.3733, -0.0116
2020-05-17, Hamburg, 2, 2.5, -1.8879, -0.0092
2020-05-18, Hamburg, 2, 2.4, -1.8879, -0.0092
2020-05-19, Hamburg, 2, 2.3, -2.0497, -0.01
2020-05-20, Hamburg, 2, 2.3, -1.78, -0.0087
2020-05-21, Hamburg, 2, 2.4, -1.1327, -0.0055
2020-05-22, Hamburg, 2, 2, -0.863, -0.0042
2020-05-23, Hamburg, 2, 1.6, -1.1867, -0.0058
2020-05-24, Hamburg, 2, 1.4, -1.2406, -0.0061
2020-05-25, Hamburg, 2, 1.3, -1.4024, -0.0069
2020-05-26, Hamburg, 2, 1.3, -1.1867, -0.0058
2020-05-27, Hamburg, 2, 1.3, -0.9709, -0.0047
2020-05-28, Hamburg, 2, 0.7, -1.1327, -0.0055
2020-05-29, Hamburg, 2, 0.6, -1.0248, -0.005
2020-05-30, Hamburg, 2, 0.7, -0.8091, -0.004
2020-05-31, Hamburg, 2, 0.6, -0.7012, -0.0034
2020-06-01, Hamburg, 2, 0.9, -0.8091, -0.004
2020-06-02, Hamburg, 2, 1, -0.3776, -0.0018
2020-06-03, Hamburg, 2, 0.9, -0.5394, -0.0026
2020-06-04, Hamburg, 2, 1.4, -0.0539, -0.0003
2020-06-05, Hamburg, 2, 1.7, 0.7012, 0.0023
2020-06-06, Hamburg, 2, 1.7, 0.863, 0.0028
2020-06-07, Hamburg, 2, 1.7, 0.917, 0.003
2020-06-08, Hamburg, 2, 1.5, 0.7012, 0.0023
2020-06-09, Hamburg, 2, 1.5, 0.2697, 0.0009
2020-06-10, Hamburg, 2, 1.5, 0.5933, 0.0019
2020-06-11, Hamburg, 2, 1.2, 0.1618, 0.0005
2020-06-12, Hamburg, 2, 1.2, -0.2158, -0.0011
2020-06-13, Hamburg, 2, 1.2, -0.1079, -0.0005
2020-06-14, Hamburg, 2, 1.3, -0.2697, -0.0013
2020-06-15, Hamburg, 2, 1.3, 0.1618, 0.0005
2020-06-16, Hamburg, 2, 1.2, 0.2158, 0.0007
2020-06-17, Hamburg, 2, 1.2, 0.1079, 0.0003
2020-06-18, Hamburg, 2, 1.4, 0.2697, 0.0009
2020-06-19, Hamburg, 2, 1.5, -0.2158, -0.0011
2020-06-20, Hamburg, 2, 1.5, -0.1618, -0.0008
2020-06-21, Hamburg, 2, 1.5, -0.1079, -0.0005
2020-06-22, Hamburg, 2, 1.7, , 
2020-06-23, Hamburg, 2, 1.8, -0.0539, -0.0003
2020-06-24, Hamburg, 2, 2.2, 0.1079, 0.0003
2020-06-25, Hamburg, 2, 2.4, -0.0539, -0.0003
2020-06-26, Hamburg, 2, 2.2, 0.4315, 0.0014
2020-06-27, Hamburg, 2, 2.5, 0.4855, 0.0016
2020-06-28, Hamburg, 2, 2.4, 0.2697, 0.0009
2020-06-29, Hamburg, 2, 2.6, 0.5933, 0.0019
2020-06-30, Hamburg, 2, 2.5, 0.863, 0.0028
2020-07-01, Hamburg, 2, 2.1, 0.3236, 0.001
2020-07-02, Hamburg, 2, 1.9, 0.4855, 0.0016
2020-07-03, Hamburg, 2, 1.9, 0.1079, 0.0003
2020-07-04, Hamburg, 2, 1.5, -0.2158, -0.0011
2020-07-05, Hamburg, 2, 1.5, 0.0539, 0.0002
2020-07-06, Hamburg, 2, 1.2, -0.9709, -0.0047
2020-07-07, Hamburg, 2, 1.3, -1.1327, -0.0055
2020-07-08, Hamburg, 2, 1.4, -0.8091, -0.004
2020-07-09, Hamburg, 2, 1.1, -0.7552, -0.0037
2020-07-10, Hamburg, 2, 1, -0.6473, -0.0032
2020-07-11, Hamburg, 2, 1, -0.4315, -0.0021
2020-07-12, Hamburg, 2, 0.9, -0.5394, -0.0026
2020-07-13, Hamburg, 2, 0.8, -0.2158, -0.0011
2020-07-14, Hamburg, 2, 0.6, -0.4315, -0.0021
2020-07-15, Hamburg, 2, 0.5, -0.6473, -0.0032
2020-07-16, Hamburg, 2, 0.4, -0.4315, -0.0021
2020-07-17, Hamburg, 2, 0.6, -0.4855, -0.0024
2020-07-18, Hamburg, 2, 0.8, -0.3236, -0.0016
2020-07-19, Hamburg, 2, 0.8, -0.1079, -0.0005
2020-07-20, Hamburg, 2, 0.9, , 
2020-07-21, Hamburg, 2, 1.1, 0.1618, 0.0005
2020-07-22, Hamburg, 2, 1.5, 0.3776, 0.0012
2020-07-23, Hamburg, 2, 2.8, 0.7012, 0.0023
2020-07-24, Hamburg, 2, 3.1, 1.8339, 0.0059
2020-07-25, Hamburg, 2, 4.1, 2.2115, 0.0071
2020-07-26, Hamburg, 2, 4.9, 2.697, 0.0087
2020-07-27, Hamburg, 2, 5, 3.5061, 0.0113
2020-07-28, Hamburg, 2, 5, 3.5061, 0.0113
2020-07-29, Hamburg, 2, 5.3, 3.6679, 0.0118
2020-07-30, Hamburg, 2, 5.7, 2.9127, 0.0094
2020-07-31, Hamburg, 2, 6.1, 2.8588, 0.0092
2020-08-01, Hamburg, 2, 5.9, 2.1036, 0.0068
2020-08-02, Hamburg, 2, 6, 0.6473, 0.0021
2020-08-03, Hamburg, 2, 6.1, 1.2406, 0.004
2020-08-04, Hamburg, 2, 8.1, 1.2945, 0.0042
2020-08-05, Hamburg, 2, 9.3, 1.2406, 0.004
2020-08-06, Hamburg, 2, 10.8, 1.4024, 0.0045
2020-08-07, Hamburg, 2, 12.9, 1.6721, 0.0054
2020-08-08, Hamburg, 2, 13.7, 5.0703, 0.0163
2020-08-09, Hamburg, 2, 14.6, 7.8751, 0.0254
2020-08-10, Hamburg, 2, 15, 6.8503, 0.0221
2020-08-11, Hamburg, 2, 14.6, 5.2861, 0.017
2020-08-12, Hamburg, 2, 14.2, 6.3109, 0.0203
2020-08-13, Hamburg, 2, 13.6, 4.8006, 0.0155
2020-08-14, Hamburg, 2, 11.8, 2.8048, 0.009
2020-08-15, Hamburg, 2, 11.8, -0.6473, -0.0032
2020-08-16, Hamburg, 2, 10.5, -2.9667, -0.0145
2020-08-17, Hamburg, 2, 10.2, -3.7218, -0.0182
2020-08-18, Hamburg, 2, 9.3, -3.1824, -0.0156
2020-08-19, Hamburg, 2, 9.4, -4.5848, -0.0224
2020-08-20, Hamburg, 2, 8.7, -3.8297, -0.0187
2020-08-21, Hamburg, 2, 8.9, -2.697, -0.0132
2020-08-22, Hamburg, 2, 8.9, -2.697, -0.0132
2020-08-23, Hamburg, 2, 9.2, -2.9127, -0.0142
2020-08-24, Hamburg, 2, 10, -1.1327, -0.0055
2020-08-25, Hamburg, 2, 10.5, 0.4855, 0.0016
2020-08-26, Hamburg, 2, 10.5, 0.4315, 0.0014
2020-08-27, Hamburg, 2, 10.2, 0.9709, 0.0031
2020-08-28, Hamburg, 2, 9.6, 0.7012, 0.0023
2020-08-29, Hamburg, 2, 9.8, 0.4855, 0.0016
2020-08-30, Hamburg, 2, 11.1, 1.9958, 0.0064
2020-08-31, Hamburg, 2, 10.9, 0.5933, 0.0019
2020-09-01, Hamburg, 2, 11, -0.5933, -0.0029
2020-09-02, Hamburg, 2, 10.9, 0.9709, 0.0031
2020-09-03, Hamburg, 2, 12.2, 1.5103, 0.0049
2020-09-04, Hamburg, 2, 14, 2.8588, 0.0092
