Week, difference, region, region_id, trend, value
2020-W11, , Hessen, 6, , 
2020-W12, 2, Hessen, 6, 0.0417, 2
2020-W13, 5, Hessen, 6, 0.1042, 7
2020-W14, 40, Hessen, 6, 0.8333, 47
2020-W15, 27, Hessen, 6, 0.5625, 74
2020-W16, 26, Hessen, 6, 0.5417, 100
2020-W17, -17, Hessen, 6, -0.425, 83
2020-W18, -29, Hessen, 6, -0.725, 54
2020-W19, -12, Hessen, 6, -0.3, 42
2020-W20, -17, Hessen, 6, -0.425, 25
2020-W21, -1, Hessen, 6, -0.025, 24
2020-W22, -7, Hessen, 6, -0.175, 17
2020-W23, -10, Hessen, 6, -0.25, 7
2020-W24, , Hessen, 6, , 7
2020-W25, 2, Hessen, 6, 0.0417, 9
2020-W26, -5, Hessen, 6, -0.125, 4
2020-W27, 2, Hessen, 6, 0.0417, 6
2020-W28, -4, Hessen, 6, -0.1, 2
2020-W29, -2, Hessen, 6, -0.05, 
2020-W30, 4, Hessen, 6, 0.0833, 4
2020-W31, -2, Hessen, 6, -0.05, 2
2020-W32, 3, Hessen, 6, 0.0625, 5
2020-W33, -4, Hessen, 6, -0.1, 1
2020-W34, 1, Hessen, 6, 0.0208, 2
2020-W35, 1, Hessen, 6, 0.0208, 3
2020-W36, 1, Hessen, 6, 0.0208, 4
2020-W37, , Hessen, 6, , 4
2020-W38, 1, Hessen, 6, 0.0208, 5
2020-W39, 1, Hessen, 6, 0.0208, 6
2020-W40, -5, Hessen, 6, -0.125, 1
2020-W41, 7, Hessen, 6, 0.1458, 8
2020-W42, 5, Hessen, 6, 0.1042, 13
2020-W43, 21, Hessen, 6, 0.4375, 34
2020-W44, 10, Hessen, 6, 0.2083, 44
2020-W45, 55, Hessen, 6, 1.1458, 99
2020-W46, 12, Hessen, 6, 0.25, 111
2020-W47, 49, Hessen, 6, 1.0208, 160
2020-W48, 54, Hessen, 6, 1.125, 214
2020-W49, 8, Hessen, 6, 0.1667, 222
2020-W50, 67, Hessen, 6, 1.3958, 289
2020-W51, 81, Hessen, 6, 1.6875, 370
2020-W52, -9, Hessen, 6, -0.225, 361
2020-W53, 113, Hessen, 6, 2.3542, 474
2021-W01, 46, Hessen, 6, 0.9583, 520
2021-W02, -66, Hessen, 6, -1.65, 454
2021-W03, -9, Hessen, 6, -0.225, 445
2021-W04, -39, Hessen, 6, -0.975, 406
2021-W05, -65, Hessen, 6, -1.625, 341
2021-W06, -73, Hessen, 6, -1.825, 268
2021-W07, -27, Hessen, 6, -0.675, 241
2021-W08, -75, Hessen, 6, -1.875, 166
2021-W09, -54, Hessen, 6, -1.35, 112
2021-W10, -13, Hessen, 6, -0.325, 99
2021-W11, 9, Hessen, 6, 0.1875, 108
2021-W12, 21, Hessen, 6, 0.4375, 129
2021-W13, -36, Hessen, 6, -0.9, 93
2021-W14, 17, Hessen, 6, 0.3542, 110
2021-W15, 8, Hessen, 6, 0.1667, 118
2021-W16, 20, Hessen, 6, 0.4167, 138
2021-W17, 4, Hessen, 6, 0.0833, 142
2021-W18, 26, Hessen, 6, 0.5417, 168
2021-W19, -88, Hessen, 6, -2.2, 80
2021-W20, 13, Hessen, 6, 0.2708, 93
2021-W21, 21, Hessen, 6, 0.4375, 114
2021-W22, -41, Hessen, 6, -1.025, 73
2021-W23, -28, Hessen, 6, -0.7, 45
2021-W24, -14, Hessen, 6, -0.35, 31
2021-W25, 3, Hessen, 6, 0.0625, 34
2021-W26, 4, Hessen, 6, 0.0833, 38
2021-W27, -25, Hessen, 6, -0.625, 13
2021-W28, -4, Hessen, 6, -0.1, 9
2021-W29, 3, Hessen, 6, 0.0625, 12
2021-W30, 1, Hessen, 6, 0.0208, 13
2021-W31, -6, Hessen, 6, -0.15, 7
2021-W32, 10, Hessen, 6, 0.2083, 17
2021-W33, -3, Hessen, 6, -0.075, 14
2021-W34, -1, Hessen, 6, -0.025, 13
2021-W35, -1, Hessen, 6, -0.025, 12
2021-W36, 12, Hessen, 6, 0.25, 24
2021-W37, 8, Hessen, 6, 0.1667, 32
2021-W38, -6, Hessen, 6, -0.15, 26
2021-W39, 7, Hessen, 6, 0.1458, 33
2021-W40, -5, Hessen, 6, -0.125, 28
2021-W41, -8, Hessen, 6, -0.2, 20
2021-W42, 3, Hessen, 6, 0.0625, 23
2021-W43, 9, Hessen, 6, 0.1875, 32
2021-W44, 16, Hessen, 6, 0.3333, 48
2021-W45, 24, Hessen, 6, 0.5, 72
2021-W46, -5, Hessen, 6, -0.125, 67
2021-W47, 13, Hessen, 6, 0.2708, 80
2021-W48, 6, Hessen, 6, 0.125, 86
2021-W49, 19, Hessen, 6, 0.3958, 105
2021-W50, -14, Hessen, 6, -0.35, 91
2021-W51, 4, Hessen, 6, 0.0833, 95
2021-W52, -32, Hessen, 6, -0.8, 63
2022-W01, -9, Hessen, 6, -0.225, 54
2022-W02, -2, Hessen, 6, -0.05, 52
2022-W03, -6, Hessen, 6, -0.15, 46
2022-W04, 25, Hessen, 6, 0.5208, 71
2022-W05, 13, Hessen, 6, 0.2708, 84
2022-W06, 15, Hessen, 6, 0.3125, 99
2022-W07, 1, Hessen, 6, 0.0208, 100
2022-W08, -1, Hessen, 6, -0.025, 99
2022-W09, -7, Hessen, 6, -0.175, 92
2022-W10, 6, Hessen, 6, 0.125, 98
2022-W11, 18, Hessen, 6, 0.375, 116
2022-W12, -47, Hessen, 6, -1.175, 69
2022-W13, 16, Hessen, 6, 0.3333, 85
2022-W14, -16, Hessen, 6, -0.4, 69
2022-W15, -7, Hessen, 6, -0.175, 62
2022-W16, 16, Hessen, 6, 0.3333, 78
2022-W17, -6, Hessen, 6, -0.15, 72
2022-W18, 7, Hessen, 6, 0.1458, 79
2022-W19, -32, Hessen, 6, -0.8, 47
2022-W20, -16, Hessen, 6, -0.4, 31
2022-W21, 18, Hessen, 6, 0.375, 49
2022-W22, 12, Hessen, 6, 0.25, 61
2022-W23, -17, Hessen, 6, -0.425, 44
2022-W24, -9, Hessen, 6, -0.225, 35
2022-W25, 30, Hessen, 6, 0.625, 65
2022-W26, -1, Hessen, 6, -0.025, 64
2022-W27, 1, Hessen, 6, 0.0208, 65
2022-W28, 13, Hessen, 6, 0.2708, 78
2022-W29, -38, Hessen, 6, -0.95, 40
2022-W30, 8, Hessen, 6, 0.1667, 48
2022-W31, 48, Hessen, 6, 1, 96
2022-W32, -40, Hessen, 6, -1, 56
2022-W33, 6, Hessen, 6, 0.125, 62
2022-W34, -4, Hessen, 6, -0.1, 58
2022-W35, -17, Hessen, 6, -0.425, 41
2022-W36, 8, Hessen, 6, 0.1667, 49
2022-W37, 1, Hessen, 6, 0.0208, 50
2022-W38, -17, Hessen, 6, -0.425, 33
2022-W39, 5, Hessen, 6, 0.1042, 38
2022-W40, 1, Hessen, 6, 0.0208, 39
2022-W41, 17, Hessen, 6, 0.3542, 56
2022-W42, 48, Hessen, 6, 1, 104
2022-W43, -11, Hessen, 6, -0.275, 93
2022-W44, -6, Hessen, 6, -0.15, 87
2022-W45, -36, Hessen, 6, -0.9, 51
2022-W46, 23, Hessen, 6, 0.4792, 74
2022-W47, -16, Hessen, 6, -0.4, 58
2022-W48, 9, Hessen, 6, 0.1875, 67
2022-W49, -7, Hessen, 6, -0.175, 60
