Week, difference, region, region_id, trend, value
2020-W11, , Berlin, 11, , 
2020-W12, 1, Berlin, 11, 0.0192, 1
2020-W13, 7, Berlin, 11, 0.1346, 8
2020-W14, 7, Berlin, 11, 0.1346, 15
2020-W15, 12, Berlin, 11, 0.2308, 27
2020-W16, 13, Berlin, 11, 0.25, 40
2020-W17, -12, Berlin, 11, -0.2353, 28
2020-W18, 1, Berlin, 11, 0.0192, 29
2020-W19, -18, Berlin, 11, -0.3529, 11
2020-W20, 5, Berlin, 11, 0.0962, 16
2020-W21, -6, Berlin, 11, -0.1176, 10
2020-W22, -3, Berlin, 11, -0.0588, 7
2020-W23, , Berlin, 11, , 7
2020-W24, -4, Berlin, 11, -0.0784, 3
2020-W25, , Berlin, 11, , 3
2020-W26, -1, Berlin, 11, -0.0196, 2
2020-W27, , Berlin, 11, , 2
2020-W28, , Berlin, 11, , 2
2020-W29, 2, Berlin, 11, 0.0385, 4
2020-W30, -2, Berlin, 11, -0.0392, 2
2020-W31, -2, Berlin, 11, -0.0392, 
2020-W32, 1, Berlin, 11, 0.0192, 1
2020-W33, -1, Berlin, 11, -0.0196, 
2020-W34, 1, Berlin, 11, 0.0192, 1
2020-W35, -1, Berlin, 11, -0.0196, 
2020-W36, , Berlin, 11, , 
2020-W37, , Berlin, 11, , 
2020-W38, 1, Berlin, 11, 0.0192, 1
2020-W39, , Berlin, 11, , 1
2020-W40, 2, Berlin, 11, 0.0385, 3
2020-W41, , Berlin, 11, , 3
2020-W42, 2, Berlin, 11, 0.0385, 5
2020-W43, 4, Berlin, 11, 0.0769, 9
2020-W44, 4, Berlin, 11, 0.0769, 13
2020-W45, 19, Berlin, 11, 0.3654, 32
2020-W46, 34, Berlin, 11, 0.6538, 66
2020-W47, 22, Berlin, 11, 0.4231, 88
2020-W48, , Berlin, 11, , 88
2020-W49, 53, Berlin, 11, 1.0192, 141
2020-W50, -9, Berlin, 11, -0.1765, 132
2020-W51, 54, Berlin, 11, 1.0385, 186
2020-W52, -64, Berlin, 11, -1.2549, 122
2020-W53, 31, Berlin, 11, 0.5962, 153
2021-W01, 121, Berlin, 11, 2.3269, 274
2021-W02, -23, Berlin, 11, -0.451, 251
2021-W03, -39, Berlin, 11, -0.7647, 212
2021-W04, 8, Berlin, 11, 0.1538, 220
2021-W05, -24, Berlin, 11, -0.4706, 196
2021-W06, -63, Berlin, 11, -1.2353, 133
2021-W07, -14, Berlin, 11, -0.2745, 119
2021-W08, -28, Berlin, 11, -0.549, 91
2021-W09, -21, Berlin, 11, -0.4118, 70
2021-W10, -29, Berlin, 11, -0.5686, 41
2021-W11, 13, Berlin, 11, 0.25, 54
2021-W12, -13, Berlin, 11, -0.2549, 41
2021-W13, , Berlin, 11, , 41
2021-W14, 4, Berlin, 11, 0.0769, 45
2021-W15, -19, Berlin, 11, -0.3725, 26
2021-W16, 14, Berlin, 11, 0.2692, 40
2021-W17, -13, Berlin, 11, -0.2549, 27
2021-W18, 54, Berlin, 11, 1.0385, 81
2021-W19, 17, Berlin, 11, 0.3269, 98
2021-W20, -59, Berlin, 11, -1.1569, 39
2021-W21, 7, Berlin, 11, 0.1346, 46
2021-W22, -20, Berlin, 11, -0.3922, 26
2021-W23, -13, Berlin, 11, -0.2549, 13
2021-W24, 18, Berlin, 11, 0.3462, 31
2021-W25, -20, Berlin, 11, -0.3922, 11
2021-W26, -5, Berlin, 11, -0.098, 6
2021-W27, -1, Berlin, 11, -0.0196, 5
2021-W28, 1, Berlin, 11, 0.0192, 6
2021-W29, 2, Berlin, 11, 0.0385, 8
2021-W30, -3, Berlin, 11, -0.0588, 5
2021-W31, -4, Berlin, 11, -0.0784, 1
2021-W32, 1, Berlin, 11, 0.0192, 2
2021-W33, -1, Berlin, 11, -0.0196, 1
2021-W34, 8, Berlin, 11, 0.1538, 9
2021-W35, -3, Berlin, 11, -0.0588, 6
2021-W36, -1, Berlin, 11, -0.0196, 5
2021-W37, 9, Berlin, 11, 0.1731, 14
2021-W38, -6, Berlin, 11, -0.1176, 8
2021-W39, -4, Berlin, 11, -0.0784, 4
2021-W40, 15, Berlin, 11, 0.2885, 19
2021-W41, -2, Berlin, 11, -0.0392, 17
2021-W42, -4, Berlin, 11, -0.0784, 13
2021-W43, 15, Berlin, 11, 0.2885, 28
2021-W44, 1, Berlin, 11, 0.0192, 29
2021-W45, -4, Berlin, 11, -0.0784, 25
2021-W46, -4, Berlin, 11, -0.0784, 21
2021-W47, 24, Berlin, 11, 0.4615, 45
2021-W48, -15, Berlin, 11, -0.2941, 30
2021-W49, 38, Berlin, 11, 0.7308, 68
2021-W50, -29, Berlin, 11, -0.5686, 39
2021-W51, -15, Berlin, 11, -0.2941, 24
2021-W52, 4, Berlin, 11, 0.0769, 28
2022-W01, -5, Berlin, 11, -0.098, 23
2022-W02, 5, Berlin, 11, 0.0962, 28
2022-W03, -12, Berlin, 11, -0.2353, 16
2022-W04, 7, Berlin, 11, 0.1346, 23
2022-W05, 5, Berlin, 11, 0.0962, 28
2022-W06, 4, Berlin, 11, 0.0769, 32
2022-W07, 12, Berlin, 11, 0.2308, 44
2022-W08, -12, Berlin, 11, -0.2353, 32
2022-W09, 2, Berlin, 11, 0.0385, 34
2022-W10, -13, Berlin, 11, -0.2549, 21
2022-W11, 2, Berlin, 11, 0.0385, 23
2022-W12, 7, Berlin, 11, 0.1346, 30
