Week, difference, region, region_id, trend, value
2020-12, , Bayern, 9, , 9.3
2020-13, 3, Bayern, 9, 0.2113, 12.3
2020-14, -1.4, Bayern, 9, -0.175, 10.9
2020-15, -1, Bayern, 9, -0.125, 9.9
2020-16, -1.9, Bayern, 9, -0.2375, 8
2020-17, -2.1, Bayern, 9, -0.2625, 5.9
2020-18, -1.9, Bayern, 9, -0.2375, 4
2020-19, -1, Bayern, 9, -0.125, 3
2020-20, -1.2, Bayern, 9, -0.15, 1.8
2020-21, -0.5, Bayern, 9, -0.0625, 1.3
2020-22, -0.4, Bayern, 9, -0.05, 0.9
2020-23, -0.3, Bayern, 9, -0.0375, 0.6
2020-24, -0.2, Bayern, 9, -0.025, 0.4
2020-25, -0.1, Bayern, 9, -0.0125, 0.3
2020-26, 0.1, Bayern, 9, 0.007, 0.4
2020-27, , Bayern, 9, , 0.4
2020-28, , Bayern, 9, , 0.4
2020-29, , Bayern, 9, , 0.4
2020-30, , Bayern, 9, , 0.4
2020-31, , Bayern, 9, , 0.4
2020-32, 0.3, Bayern, 9, 0.0211, 0.7
2020-33, , Bayern, 9, , 0.7
2020-34, 0.1, Bayern, 9, 0.007, 0.8
2020-35, 0.1, Bayern, 9, 0.007, 0.9
2020-36, -0.3, Bayern, 9, -0.0375, 0.6
2020-37, 0.2, Bayern, 9, 0.0141, 0.8
2020-38, 0.2, Bayern, 9, 0.0141, 1
2020-39, -0.2, Bayern, 9, -0.025, 0.8
2020-40, -0.1, Bayern, 9, -0.0125, 0.7
2020-41, 0.6, Bayern, 9, 0.0423, 1.3
2020-42, 0.8, Bayern, 9, 0.0563, 2.1
2020-43, 1.5, Bayern, 9, 0.1056, 3.6
2020-44, 1.2, Bayern, 9, 0.0845, 4.8
2020-45, 1.6, Bayern, 9, 0.1127, 6.4
2020-46, 1, Bayern, 9, 0.0704, 7.4
2020-47, 0.6, Bayern, 9, 0.0423, 8
2020-48, -0.1, Bayern, 9, -0.0125, 7.9
2020-49, 0.7, Bayern, 9, 0.0493, 8.6
2020-50, 0.8, Bayern, 9, 0.0563, 9.4
2020-51, -0.8, Bayern, 9, -0.1, 8.6
2020-52, 1.1, Bayern, 9, 0.0775, 9.7
2020-53, 2.4, Bayern, 9, 0.169, 12.1
2021-01, -2, Bayern, 9, -0.25, 10.1
2021-02, -1.8, Bayern, 9, -0.225, 8.3
2021-03, -0.8, Bayern, 9, -0.1, 7.5
2021-04, -0.7, Bayern, 9, -0.0875, 6.8
2021-05, -1.4, Bayern, 9, -0.175, 5.4
2021-06, -0.6, Bayern, 9, -0.075, 4.8
2021-07, -0.6, Bayern, 9, -0.075, 4.2
2021-08, 0.1, Bayern, 9, 0.007, 4.3
2021-09, , Bayern, 9, , 4.3
2021-10, 0.1, Bayern, 9, 0.007, 4.4
2021-11, 0.3, Bayern, 9, 0.0211, 4.7
2021-12, 1.2, Bayern, 9, 0.0845, 5.9
2021-13, 1, Bayern, 9, 0.0704, 6.9
2021-14, 1.3, Bayern, 9, 0.0915, 8.2
2021-15, -0.3, Bayern, 9, -0.0375, 7.9
2021-16, , Bayern, 9, , 7.9
2021-17, -0.8, Bayern, 9, -0.1, 7.1
2021-18, -0.6, Bayern, 9, -0.075, 6.5
2021-19, -1.1, Bayern, 9, -0.1375, 5.4
2021-20, -1.6, Bayern, 9, -0.2, 3.8
2021-21, -1, Bayern, 9, -0.125, 2.8
2021-22, -0.7, Bayern, 9, -0.0875, 2.1
2021-23, -0.3, Bayern, 9, -0.0375, 1.8
2021-24, -0.8, Bayern, 9, -0.1, 1
2021-25, -0.3, Bayern, 9, -0.0375, 0.7
2021-26, -0.2, Bayern, 9, -0.025, 0.5
2021-27, 0.1, Bayern, 9, 0.007, 0.6
2021-28, 0.2, Bayern, 9, 0.0141, 0.8
2021-29, 0.2, Bayern, 9, 0.0141, 1
2021-30, 0.3, Bayern, 9, 0.0211, 1.3
2021-31, 0.2, Bayern, 9, 0.0141, 1.5
2021-32, 0.9, Bayern, 9, 0.0634, 2.4
2021-33, 1.3, Bayern, 9, 0.0915, 3.7
2021-34, 2, Bayern, 9, 0.1408, 5.7
2021-35, 0.5, Bayern, 9, 0.0352, 6.2
2021-36, 0.4, Bayern, 9, 0.0282, 6.6
2021-37, -0.3, Bayern, 9, -0.0375, 6.3
2021-38, -1, Bayern, 9, -0.125, 5.3
2021-39, 0.2, Bayern, 9, 0.0141, 5.5
2021-40, , Bayern, 9, , 5.5
2021-41, 1.8, Bayern, 9, 0.1268, 7.3
2021-42, 2.9, Bayern, 9, 0.2042, 10.2
2021-43, 2.9, Bayern, 9, 0.2042, 13.1
2021-44, 5.3, Bayern, 9, 0.3732, 18.4
2021-45, 1.3, Bayern, 9, 0.0915, 19.7
2021-46, 0.9, Bayern, 9, 0.0634, 20.6
2021-47, -0.9, Bayern, 9, -0.1125, 19.7
2021-48, -2, Bayern, 9, -0.25, 17.7
2021-49, -2.2, Bayern, 9, -0.275, 15.5
2021-50, -2.9, Bayern, 9, -0.3625, 12.6
2021-51, -2.2, Bayern, 9, -0.275, 10.4
2021-52, -0.3, Bayern, 9, -0.0375, 10.1
2022-01, 2.2, Bayern, 9, 0.1549, 12.3
2022-02, 4.6, Bayern, 9, 0.3239, 16.9
2022-03, 8.1, Bayern, 9, 0.5704, 25
