Week, difference, region, region_id, trend, value
2020-W11, , Mecklenburg-Vorpommern, 13, , 
2020-W12, , Mecklenburg-Vorpommern, 13, , 
2020-W13, 1, Mecklenburg-Vorpommern, 13, 0.0769, 1
2020-W14, 3, Mecklenburg-Vorpommern, 13, 0.2308, 4
2020-W15, 2, Mecklenburg-Vorpommern, 13, 0.1538, 6
2020-W16, -2, Mecklenburg-Vorpommern, 13, -0.1333, 4
2020-W17, -3, Mecklenburg-Vorpommern, 13, -0.2, 1
2020-W18, 1, Mecklenburg-Vorpommern, 13, 0.0769, 2
2020-W19, -1, Mecklenburg-Vorpommern, 13, -0.0667, 1
2020-W20, , Mecklenburg-Vorpommern, 13, , 1
2020-W21, -1, Mecklenburg-Vorpommern, 13, -0.0667, 
2020-W22, , Mecklenburg-Vorpommern, 13, , 
2020-W23, , Mecklenburg-Vorpommern, 13, , 
2020-W24, , Mecklenburg-Vorpommern, 13, , 
2020-W25, , Mecklenburg-Vorpommern, 13, , 
2020-W26, , Mecklenburg-Vorpommern, 13, , 
2020-W27, , Mecklenburg-Vorpommern, 13, , 
2020-W28, , Mecklenburg-Vorpommern, 13, , 
2020-W29, , Mecklenburg-Vorpommern, 13, , 
2020-W30, , Mecklenburg-Vorpommern, 13, , 
2020-W31, , Mecklenburg-Vorpommern, 13, , 
2020-W32, , Mecklenburg-Vorpommern, 13, , 
2020-W33, , Mecklenburg-Vorpommern, 13, , 
2020-W34, , Mecklenburg-Vorpommern, 13, , 
2020-W35, , Mecklenburg-Vorpommern, 13, , 
2020-W36, , Mecklenburg-Vorpommern, 13, , 
2020-W37, , Mecklenburg-Vorpommern, 13, , 
2020-W38, , Mecklenburg-Vorpommern, 13, , 
2020-W39, , Mecklenburg-Vorpommern, 13, , 
2020-W40, , Mecklenburg-Vorpommern, 13, , 
2020-W41, , Mecklenburg-Vorpommern, 13, , 
2020-W42, 1, Mecklenburg-Vorpommern, 13, 0.0769, 1
2020-W43, -1, Mecklenburg-Vorpommern, 13, -0.0667, 
2020-W44, 2, Mecklenburg-Vorpommern, 13, 0.1538, 2
2020-W45, 4, Mecklenburg-Vorpommern, 13, 0.3077, 6
2020-W46, 3, Mecklenburg-Vorpommern, 13, 0.2308, 9
2020-W47, 6, Mecklenburg-Vorpommern, 13, 0.4615, 15
2020-W48, -7, Mecklenburg-Vorpommern, 13, -0.4667, 8
2020-W49, 5, Mecklenburg-Vorpommern, 13, 0.3846, 13
2020-W50, 9, Mecklenburg-Vorpommern, 13, 0.6923, 22
2020-W51, -1, Mecklenburg-Vorpommern, 13, -0.0667, 21
2020-W52, 4, Mecklenburg-Vorpommern, 13, 0.3077, 25
2020-W53, 9, Mecklenburg-Vorpommern, 13, 0.6923, 34
2021-W01, 28, Mecklenburg-Vorpommern, 13, 2.1538, 62
2021-W02, -3, Mecklenburg-Vorpommern, 13, -0.2, 59
2021-W03, 7, Mecklenburg-Vorpommern, 13, 0.5385, 66
