Week, difference, region, region_id, trend, value
2020-12, , Hamburg, 2, , 6.4
2020-13, 2.6, Hamburg, 2, 0.1074, 9
2020-14, 2.2, Hamburg, 2, 0.0909, 11.2
2020-15, 0.1, Hamburg, 2, 0.0041, 11.3
2020-16, -5.1, Hamburg, 2, -0.4397, 6.2
2020-17, -3.8, Hamburg, 2, -0.3276, 2.4
2020-18, -0.5, Hamburg, 2, -0.0431, 1.9
2020-19, -0.7, Hamburg, 2, -0.0603, 1.2
2020-20, -0.8, Hamburg, 2, -0.069, 0.4
2020-21, -0.2, Hamburg, 2, -0.0172, 0.2
2020-22, -0.2, Hamburg, 2, -0.0172, 
2020-23, , Hamburg, 2, , 
2020-24, 0.3, Hamburg, 2, 0.0124, 0.3
2020-25, -0.3, Hamburg, 2, -0.0259, 
2020-26, 0.1, Hamburg, 2, 0.0041, 0.1
2020-27, 0.1, Hamburg, 2, 0.0041, 0.2
2020-28, , Hamburg, 2, , 0.2
2020-29, , Hamburg, 2, , 0.2
2020-30, 0.1, Hamburg, 2, 0.0041, 0.3
2020-31, 0.1, Hamburg, 2, 0.0041, 0.4
2020-32, 0.2, Hamburg, 2, 0.0083, 0.6
2020-33, -0.2, Hamburg, 2, -0.0172, 0.4
2020-34, -0.1, Hamburg, 2, -0.0086, 0.3
2020-35, 0.1, Hamburg, 2, 0.0041, 0.4
2020-36, 0.2, Hamburg, 2, 0.0083, 0.6
2020-37, 0.1, Hamburg, 2, 0.0041, 0.7
2020-38, 0.1, Hamburg, 2, 0.0041, 0.8
2020-39, -0.2, Hamburg, 2, -0.0172, 0.6
2020-40, 0.3, Hamburg, 2, 0.0124, 0.9
2020-41, 0.6, Hamburg, 2, 0.0248, 1.5
2020-42, , Hamburg, 2, , 1.5
2020-43, 1.5, Hamburg, 2, 0.062, 3
2020-44, 1.2, Hamburg, 2, 0.0496, 4.2
2020-45, 0.2, Hamburg, 2, 0.0083, 4.4
2020-46, 0.8, Hamburg, 2, 0.0331, 5.2
2020-47, 0.4, Hamburg, 2, 0.0165, 5.6
2020-48, -1, Hamburg, 2, -0.0862, 4.6
2020-49, 0.5, Hamburg, 2, 0.0207, 5.1
2020-50, 0.3, Hamburg, 2, 0.0124, 5.4
2020-51, 0.2, Hamburg, 2, 0.0083, 5.6
2020-52, 1, Hamburg, 2, 0.0413, 6.6
2020-53, 10.9, Hamburg, 2, 0.4504, 17.5
2021-01, -9, Hamburg, 2, -0.7759, 8.5
2021-02, -2.3, Hamburg, 2, -0.1983, 6.2
2021-03, 3.8, Hamburg, 2, 0.157, 10
2021-04, -0.7, Hamburg, 2, -0.0603, 9.3
2021-05, -0.5, Hamburg, 2, -0.0431, 8.8
2021-06, -0.4, Hamburg, 2, -0.0345, 8.4
2021-07, 0.3, Hamburg, 2, 0.0124, 8.7
2021-08, -0.1, Hamburg, 2, -0.0086, 8.6
2021-09, 1.2, Hamburg, 2, 0.0496, 9.8
2021-10, 2.7, Hamburg, 2, 0.1116, 12.5
2021-11, -0.1, Hamburg, 2, -0.0086, 12.4
2021-12, 1.1, Hamburg, 2, 0.0455, 13.5
2021-13, 0.4, Hamburg, 2, 0.0165, 13.9
2021-14, 1.5, Hamburg, 2, 0.062, 15.4
2021-15, -1.8, Hamburg, 2, -0.1552, 13.6
2021-16, -1.7, Hamburg, 2, -0.1466, 11.9
2021-17, -0.6, Hamburg, 2, -0.0517, 11.3
2021-18, -1.1, Hamburg, 2, -0.0948, 10.2
2021-19, -2.6, Hamburg, 2, -0.2241, 7.6
2021-20, -2.1, Hamburg, 2, -0.181, 5.5
2021-21, 0.7, Hamburg, 2, 0.0289, 6.2
2021-22, -2.5, Hamburg, 2, -0.2155, 3.7
2021-23, 0.1, Hamburg, 2, 0.0041, 3.8
2021-24, -0.5, Hamburg, 2, -0.0431, 3.3
2021-25, -1, Hamburg, 2, -0.0862, 2.3
2021-26, , Hamburg, 2, , 2.3
