Altersgruppe, Week, difference, trend, value
>=80, 2020-W11, , , 3
>=80, 2020-W12, 38, 0.1083, 41
>=80, 2020-W13, 167, 0.4758, 208
>=80, 2020-W14, 365, 1.0399, 573
>=80, 2020-W15, 267, 0.7607, 840
>=80, 2020-W16, 198, 0.5641, 1038
>=80, 2020-W17, -154, -0.8148, 884
>=80, 2020-W18, -233, -1.2328, 651
>=80, 2020-W19, -184, -0.9735, 467
>=80, 2020-W20, -159, -0.8413, 308
>=80, 2020-W21, -108, -0.5714, 200
>=80, 2020-W22, -46, -0.2434, 154
>=80, 2020-W23, -50, -0.2646, 104
>=80, 2020-W24, -48, -0.254, 56
>=80, 2020-W25, 3, 0.0085, 59
>=80, 2020-W26, -16, -0.0847, 43
>=80, 2020-W27, -14, -0.0741, 29
>=80, 2020-W28, -8, -0.0423, 21
>=80, 2020-W29, -8, -0.0423, 13
>=80, 2020-W30, 8, 0.0228, 21
>=80, 2020-W31, -8, -0.0423, 13
>=80, 2020-W32, 17, 0.0484, 30
>=80, 2020-W33, -10, -0.0529, 20
>=80, 2020-W34, 7, 0.0199, 27
>=80, 2020-W35, -15, -0.0794, 12
>=80, 2020-W36, -2, -0.0106, 10
>=80, 2020-W37, -2, -0.0106, 8
>=80, 2020-W38, 8, 0.0228, 16
>=80, 2020-W39, 25, 0.0712, 41
>=80, 2020-W40, 8, 0.0228, 49
>=80, 2020-W41, , , 49
>=80, 2020-W42, 59, 0.1681, 108
>=80, 2020-W43, 70, 0.1994, 178
>=80, 2020-W44, 134, 0.3818, 312
>=80, 2020-W45, 239, 0.6809, 551
>=80, 2020-W46, 298, 0.849, 849
>=80, 2020-W47, 209, 0.5954, 1058
>=80, 2020-W48, 384, 1.094, 1442
>=80, 2020-W49, 434, 1.2365, 1876
>=80, 2020-W50, 252, 0.7179, 2128
>=80, 2020-W51, 917, 2.6125, 3045
>=80, 2020-W52, -370, -1.9577, 2675
>=80, 2020-W53, 553, 1.5755, 3228
>=80, 2021-W01, 1148, 3.2707, 4376
>=80, 2021-W02, -21, -0.1111, 4355
>=80, 2021-W03, -501, -2.6508, 3854
>=80, 2021-W04, -245, -1.2963, 3609
>=80, 2021-W05, -441, -2.3333, 3168
>=80, 2021-W06, -782, -4.1376, 2386
>=80, 2021-W07, -381, -2.0159, 2005
>=80, 2021-W08, -459, -2.4286, 1546
>=80, 2021-W09, -367, -1.9418, 1179
>=80, 2021-W10, -223, -1.1799, 956
>=80, 2021-W11, -188, -0.9947, 768
>=80, 2021-W12, -79, -0.418, 689
>=80, 2021-W13, -41, -0.2169, 648
>=80, 2021-W14, 81, 0.2308, 729
>=80, 2021-W15, 70, 0.1994, 799
>=80, 2021-W16, -3, -0.0159, 796
>=80, 2021-W17, -52, -0.2751, 744
>=80, 2021-W18, 21, 0.0598, 765
>=80, 2021-W19, -148, -0.7831, 617
>=80, 2021-W20, -76, -0.4021, 541
>=80, 2021-W21, -82, -0.4339, 459
>=80, 2021-W22, -86, -0.455, 373
>=80, 2021-W23, -101, -0.5344, 272
>=80, 2021-W24, -6, -0.0317, 266
>=80, 2021-W25, -109, -0.5767, 157
