Week, difference, region, region_id, trend, value
2020-W11, , Nordrhein-Westfalen, 5, , 5
2020-W12, -4, Nordrhein-Westfalen, 5, -0.044, 1
2020-W13, 91, Nordrhein-Westfalen, 5, 0.6408, 92
2020-W14, 43, Nordrhein-Westfalen, 5, 0.3028, 135
2020-W15, 113, Nordrhein-Westfalen, 5, 0.7958, 248
2020-W16, 74, Nordrhein-Westfalen, 5, 0.5211, 322
2020-W17, -32, Nordrhein-Westfalen, 5, -0.3516, 290
2020-W18, -103, Nordrhein-Westfalen, 5, -1.1319, 187
2020-W19, -53, Nordrhein-Westfalen, 5, -0.5824, 134
2020-W20, -54, Nordrhein-Westfalen, 5, -0.5934, 80
2020-W21, -19, Nordrhein-Westfalen, 5, -0.2088, 61
2020-W22, -28, Nordrhein-Westfalen, 5, -0.3077, 33
2020-W23, -4, Nordrhein-Westfalen, 5, -0.044, 29
2020-W24, -9, Nordrhein-Westfalen, 5, -0.0989, 20
2020-W25, -3, Nordrhein-Westfalen, 5, -0.033, 17
2020-W26, -8, Nordrhein-Westfalen, 5, -0.0879, 9
2020-W27, 5, Nordrhein-Westfalen, 5, 0.0352, 14
2020-W28, 4, Nordrhein-Westfalen, 5, 0.0282, 18
2020-W29, -11, Nordrhein-Westfalen, 5, -0.1209, 7
2020-W30, 9, Nordrhein-Westfalen, 5, 0.0634, 16
2020-W31, -10, Nordrhein-Westfalen, 5, -0.1099, 6
2020-W32, 14, Nordrhein-Westfalen, 5, 0.0986, 20
2020-W33, -4, Nordrhein-Westfalen, 5, -0.044, 16
2020-W34, 6, Nordrhein-Westfalen, 5, 0.0423, 22
2020-W35, -11, Nordrhein-Westfalen, 5, -0.1209, 11
2020-W36, 2, Nordrhein-Westfalen, 5, 0.0141, 13
2020-W37, -7, Nordrhein-Westfalen, 5, -0.0769, 6
2020-W38, 9, Nordrhein-Westfalen, 5, 0.0634, 15
2020-W39, 6, Nordrhein-Westfalen, 5, 0.0423, 21
2020-W40, -2, Nordrhein-Westfalen, 5, -0.022, 19
2020-W41, 9, Nordrhein-Westfalen, 5, 0.0634, 28
2020-W42, 3, Nordrhein-Westfalen, 5, 0.0211, 31
2020-W43, 40, Nordrhein-Westfalen, 5, 0.2817, 71
2020-W44, 59, Nordrhein-Westfalen, 5, 0.4155, 130
2020-W45, 65, Nordrhein-Westfalen, 5, 0.4577, 195
2020-W46, 87, Nordrhein-Westfalen, 5, 0.6127, 282
2020-W47, 48, Nordrhein-Westfalen, 5, 0.338, 330
2020-W48, 124, Nordrhein-Westfalen, 5, 0.8732, 454
2020-W49, 48, Nordrhein-Westfalen, 5, 0.338, 502
2020-W50, 25, Nordrhein-Westfalen, 5, 0.1761, 527
2020-W51, 233, Nordrhein-Westfalen, 5, 1.6408, 760
2020-W52, -10, Nordrhein-Westfalen, 5, -0.1099, 750
2020-W53, 36, Nordrhein-Westfalen, 5, 0.2535, 786
2021-W01, 388, Nordrhein-Westfalen, 5, 2.7324, 1174
2021-W02, -35, Nordrhein-Westfalen, 5, -0.3846, 1139
2021-W03, -296, Nordrhein-Westfalen, 5, -3.2527, 843
2021-W04, 14, Nordrhein-Westfalen, 5, 0.0986, 857
2021-W05, -102, Nordrhein-Westfalen, 5, -1.1209, 755
2021-W06, -203, Nordrhein-Westfalen, 5, -2.2308, 552
2021-W07, -24, Nordrhein-Westfalen, 5, -0.2637, 528
2021-W08, -105, Nordrhein-Westfalen, 5, -1.1538, 423
2021-W09, -97, Nordrhein-Westfalen, 5, -1.0659, 326
2021-W10, -48, Nordrhein-Westfalen, 5, -0.5275, 278
2021-W11, -50, Nordrhein-Westfalen, 5, -0.5495, 228
2021-W12, -1, Nordrhein-Westfalen, 5, -0.011, 227
2021-W13, -21, Nordrhein-Westfalen, 5, -0.2308, 206
2021-W14, 57, Nordrhein-Westfalen, 5, 0.4014, 263
