Meldedatum, difference, frozen, region, region_id, trend, value, Lower, Prediction, Upper
2023-05-30, -0.0742, 0.5689, Sachsen, 14, -0.0093, 0.57, , , 
2023-05-29, 0.4699, 1.0636, Sachsen, 14, 0.0514, 1.06, , , 
2023-05-28, 0.4699, 1.1872, Sachsen, 14, 0.0514, 1.19, , , 
2023-05-27, 0.371, 1.1872, Sachsen, 14, 0.0405, 1.19, 1.39, 1.47, 1.7
2023-05-26, 0.2473, 1.1625, Sachsen, 14, 0.027, 1.31, 1.49, 1.54, 1.65
2023-05-25, -0.2721, 1.0141, Sachsen, 14, -0.0343, 1.24, 1.37, 1.41, 1.51
2023-05-24, -0.0495, 1.1378, Sachsen, 14, -0.0062, 1.43, 1.54, 1.58, 1.68
2023-05-23, -0.0247, 0.6431, Sachsen, 14, -0.0031, 1.36, 1.44, 1.48, 1.54
2023-05-22, -0.3957, 0.5936, Sachsen, 14, -0.0498, 1.39, 1.43, 1.46, 1.5
2023-05-21, -0.5194, 0.7173, Sachsen, 14, -0.0654, 1.39, 1.42, 1.45, 1.49
2023-05-20, -0.5936, 0.8162, Sachsen, 14, -0.0748, 1.51, 1.54, 1.58, 1.62
2023-05-19, -0.742, 0.9152, Sachsen, 14, -0.0935, 1.61, 1.64, 1.67, 1.72
2023-05-18, -0.7915, 1.2862, Sachsen, 14, -0.0997, 1.95, 1.99, 2.03, 2.08
2023-05-17, -0.7915, 1.1872, Sachsen, 14, -0.0997, 1.78, 1.81, 1.84, 1.89
2023-05-16, -2.0529, 0.6678, Sachsen, 14, -0.2586, 1.95, 1.98, 2.01, 2.06
2023-05-15, -0.9646, 0.9894, Sachsen, 14, -0.1215, 1.76, 1.78, 1.8, 1.85
2023-05-14, -0.9152, 1.2367, Sachsen, 14, -0.1153, 1.88, 1.9, 1.93, 1.97
2023-05-13, -1.0141, 1.4098, Sachsen, 14, -0.1277, 1.93, 1.95, 1.97, 2.02
2023-05-12, -0.3463, 1.6572, Sachsen, 14, -0.0436, 2.23, 2.25, 2.27, 2.32
2023-05-11, 0.1237, 2.0777, Sachsen, 14, 0.0135, 2.45, 2.46, 2.49, 2.55
2023-05-10, 0.4699, 1.9787, Sachsen, 14, 0.0514, 2.62, 2.64, 2.67, 2.72
2023-05-09, 1.2862, 2.7208, Sachsen, 14, 0.1405, 3.46, 3.48, 3.51, 3.58
2023-05-08, -0.6431, 1.954, Sachsen, 14, -0.081, 3.49, 3.5, 3.53, 3.61
2023-05-07, -0.6184, 2.1519, Sachsen, 14, -0.0779, 3.46, 3.47, 3.51, 3.58
2023-05-06, -0.5194, 2.4239, Sachsen, 14, -0.0654, 3.59, 3.6, 3.63, 3.7
2023-05-05, -1.1625, 2.0035, Sachsen, 14, -0.1464, 3.39, 3.4, 3.43, 3.49
2023-05-04, -1.3851, 1.954, Sachsen, 14, -0.1745, 3.12, 3.12, 3.15, 3.2
2023-05-03, -1.2862, 1.5088, Sachsen, 14, -0.162, 3.22, 3.22, 3.24, 3.29
2023-05-02, -1.1378, 1.4346, Sachsen, 14, -0.1433, 2.89, 2.89, 2.91, 2.94
2023-05-01, -0.5442, 2.5971, Sachsen, 14, -0.0685, 3.78, 3.78, 3.79, 3.83
2023-04-30, -0.6678, 2.7702, Sachsen, 14, -0.0841, 3.78, 3.78, 3.79, 3.82
2023-04-29, -0.742, 2.9434, Sachsen, 14, -0.0935, 3.69, 3.68, 3.69, 3.72
2023-04-28, -0.5936, 3.166, Sachsen, 14, -0.0748, 4.16, 4.15, 4.16, 4.18
2023-04-27, -0.4699, 3.3391, Sachsen, 14, -0.0592, 4.48, 4.47, 4.48, 4.5
2023-04-26, -0.9894, 2.795, Sachsen, 14, -0.1246, 4.67, 4.66, 4.67, 4.69
2023-04-25, -2.1271, 2.5723, Sachsen, 14, -0.2679, 4.75, 4.73, 4.74, 4.75
2023-04-24, -0.6678, 3.1412, Sachsen, 14, -0.0841, 5.19, 5.18, 5.18, 5.19
2023-04-23, -0.4947, 3.438, Sachsen, 14, -0.0623, 5.34, 5.32, 5.33, 5.33
2023-04-22, -0.4452, 3.6854, Sachsen, 14, -0.0561, 5.49, 5.47, 5.47, 5.48
2023-04-21, -0.0247, 3.7596, Sachsen, 14, -0.0031, 5.49, 5.47, 5.47, 5.47
2023-04-20, 0.3957, 3.8091, Sachsen, 14, 0.0432, 5.79, 5.77, 5.77, 5.77
2023-04-19, 1.4593, 3.7843, Sachsen, 14, 0.1595, 6.33, 6.31, 6.31, 6.31
2023-04-18, 2.7702, 4.6995, Sachsen, 14, 0.3027, 8.04, 8.01, 8.01, 8.01
2023-04-17, 0.1979, 3.8091, Sachsen, 14, 0.0216, 6.65, 6.63, 6.63, 6.63
