Week, difference, region, region_id, trend, value
2020-W11, , Schleswig-Holstein, 1, , 1
2020-W12, , Schleswig-Holstein, 1, , 1
2020-W13, 2, Schleswig-Holstein, 1, 0.069, 3
2020-W14, 8, Schleswig-Holstein, 1, 0.2759, 11
2020-W15, 11, Schleswig-Holstein, 1, 0.3793, 22
2020-W16, -1, Schleswig-Holstein, 1, -0.04, 21
2020-W17, 11, Schleswig-Holstein, 1, 0.3793, 32
2020-W18, -17, Schleswig-Holstein, 1, -0.68, 15
2020-W19, -5, Schleswig-Holstein, 1, -0.2, 10
2020-W20, -7, Schleswig-Holstein, 1, -0.28, 3
2020-W21, 8, Schleswig-Holstein, 1, 0.2759, 11
2020-W22, -3, Schleswig-Holstein, 1, -0.12, 8
2020-W23, -6, Schleswig-Holstein, 1, -0.24, 2
2020-W24, 2, Schleswig-Holstein, 1, 0.069, 4
2020-W25, -3, Schleswig-Holstein, 1, -0.12, 1
2020-W26, -1, Schleswig-Holstein, 1, -0.04, 
2020-W27, , Schleswig-Holstein, 1, , 
2020-W28, 2, Schleswig-Holstein, 1, 0.069, 2
2020-W29, -2, Schleswig-Holstein, 1, -0.08, 
2020-W30, 1, Schleswig-Holstein, 1, 0.0345, 1
2020-W31, , Schleswig-Holstein, 1, , 1
2020-W32, 1, Schleswig-Holstein, 1, 0.0345, 2
2020-W33, -2, Schleswig-Holstein, 1, -0.08, 
2020-W34, 2, Schleswig-Holstein, 1, 0.069, 2
2020-W35, -2, Schleswig-Holstein, 1, -0.08, 
2020-W36, 1, Schleswig-Holstein, 1, 0.0345, 1
2020-W37, -1, Schleswig-Holstein, 1, -0.04, 
2020-W38, , Schleswig-Holstein, 1, , 
2020-W39, , Schleswig-Holstein, 1, , 
2020-W40, 1, Schleswig-Holstein, 1, 0.0345, 1
2020-W41, -1, Schleswig-Holstein, 1, -0.04, 
2020-W42, 1, Schleswig-Holstein, 1, 0.0345, 1
2020-W43, , Schleswig-Holstein, 1, , 1
2020-W44, 10, Schleswig-Holstein, 1, 0.3448, 11
2020-W45, 14, Schleswig-Holstein, 1, 0.4828, 25
2020-W46, -6, Schleswig-Holstein, 1, -0.24, 19
2020-W47, -4, Schleswig-Holstein, 1, -0.16, 15
2020-W48, , Schleswig-Holstein, 1, , 15
2020-W49, , Schleswig-Holstein, 1, , 15
2020-W50, 13, Schleswig-Holstein, 1, 0.4483, 28
2020-W51, 4, Schleswig-Holstein, 1, 0.1379, 32
2020-W52, 11, Schleswig-Holstein, 1, 0.3793, 43
2020-W53, 35, Schleswig-Holstein, 1, 1.2069, 78
2021-W01, 22, Schleswig-Holstein, 1, 0.7586, 100
2021-W02, 5, Schleswig-Holstein, 1, 0.1724, 105
2021-W03, -10, Schleswig-Holstein, 1, -0.4, 95
2021-W04, 38, Schleswig-Holstein, 1, 1.3103, 133
2021-W05, , Schleswig-Holstein, 1, , 133
2021-W06, -19, Schleswig-Holstein, 1, -0.76, 114
2021-W07, -35, Schleswig-Holstein, 1, -1.4, 79
2021-W08, -1, Schleswig-Holstein, 1, -0.04, 78
2021-W09, -29, Schleswig-Holstein, 1, -1.16, 49
2021-W10, -5, Schleswig-Holstein, 1, -0.2, 44
2021-W11, -15, Schleswig-Holstein, 1, -0.6, 29
2021-W12, -9, Schleswig-Holstein, 1, -0.36, 20
2021-W13, -6, Schleswig-Holstein, 1, -0.24, 14
2021-W14, 5, Schleswig-Holstein, 1, 0.1724, 19
2021-W15, -4, Schleswig-Holstein, 1, -0.16, 15
2021-W16, 5, Schleswig-Holstein, 1, 0.1724, 20
2021-W17, -4, Schleswig-Holstein, 1, -0.16, 16
2021-W18, -1, Schleswig-Holstein, 1, -0.04, 15
2021-W19, 22, Schleswig-Holstein, 1, 0.7586, 37
2021-W20, -25, Schleswig-Holstein, 1, -1, 12
2021-W21, 6, Schleswig-Holstein, 1, 0.2069, 18
2021-W22, -8, Schleswig-Holstein, 1, -0.32, 10
2021-W23, , Schleswig-Holstein, 1, , 10
2021-W24, -1, Schleswig-Holstein, 1, -0.04, 9
2021-W25, -8, Schleswig-Holstein, 1, -0.32, 1
2021-W26, 1, Schleswig-Holstein, 1, 0.0345, 2
2021-W27, 1, Schleswig-Holstein, 1, 0.0345, 3
2021-W28, -1, Schleswig-Holstein, 1, -0.04, 2
2021-W29, -1, Schleswig-Holstein, 1, -0.04, 1
2021-W30, 8, Schleswig-Holstein, 1, 0.2759, 9
2021-W31, -8, Schleswig-Holstein, 1, -0.32, 1
2021-W32, 1, Schleswig-Holstein, 1, 0.0345, 2
2021-W33, , Schleswig-Holstein, 1, , 2
2021-W34, 5, Schleswig-Holstein, 1, 0.1724, 7
2021-W35, -2, Schleswig-Holstein, 1, -0.08, 5
2021-W36, 5, Schleswig-Holstein, 1, 0.1724, 10
2021-W37, 1, Schleswig-Holstein, 1, 0.0345, 11
2021-W38, -6, Schleswig-Holstein, 1, -0.24, 5
2021-W39, -1, Schleswig-Holstein, 1, -0.04, 4
2021-W40, 3, Schleswig-Holstein, 1, 0.1034, 7
2021-W41, 3, Schleswig-Holstein, 1, 0.1034, 10
2021-W42, -1, Schleswig-Holstein, 1, -0.04, 9
2021-W43, 4, Schleswig-Holstein, 1, 0.1379, 13
2021-W44, , Schleswig-Holstein, 1, , 13
2021-W45, , Schleswig-Holstein, 1, , 13
2021-W46, 8, Schleswig-Holstein, 1, 0.2759, 21
2021-W47, -5, Schleswig-Holstein, 1, -0.2, 16
2021-W48, 3, Schleswig-Holstein, 1, 0.1034, 19
2021-W49, 3, Schleswig-Holstein, 1, 0.1034, 22
2021-W50, 3, Schleswig-Holstein, 1, 0.1034, 25
2021-W51, -9, Schleswig-Holstein, 1, -0.36, 16
2021-W52, -1, Schleswig-Holstein, 1, -0.04, 15
2022-W01, -3, Schleswig-Holstein, 1, -0.12, 12
2022-W02, 5, Schleswig-Holstein, 1, 0.1724, 17
2022-W03, 4, Schleswig-Holstein, 1, 0.1379, 21
2022-W04, 6, Schleswig-Holstein, 1, 0.2069, 27
2022-W05, , Schleswig-Holstein, 1, , 27
2022-W06, 22, Schleswig-Holstein, 1, 0.7586, 49
2022-W07, -18, Schleswig-Holstein, 1, -0.72, 31
2022-W08, 5, Schleswig-Holstein, 1, 0.1724, 36
2022-W09, -4, Schleswig-Holstein, 1, -0.16, 32
2022-W10, 13, Schleswig-Holstein, 1, 0.4483, 45
2022-W11, -8, Schleswig-Holstein, 1, -0.32, 37
2022-W12, 3, Schleswig-Holstein, 1, 0.1034, 40
2022-W13, 5, Schleswig-Holstein, 1, 0.1724, 45
2022-W14, -12, Schleswig-Holstein, 1, -0.48, 33
2022-W15, , Schleswig-Holstein, 1, , 33
2022-W16, 7, Schleswig-Holstein, 1, 0.2414, 40
2022-W17, -9, Schleswig-Holstein, 1, -0.36, 31
2022-W18, -11, Schleswig-Holstein, 1, -0.44, 20
2022-W19, 4, Schleswig-Holstein, 1, 0.1379, 24
2022-W20, 2, Schleswig-Holstein, 1, 0.069, 26
2022-W21, 5, Schleswig-Holstein, 1, 0.1724, 31
2022-W22, -20, Schleswig-Holstein, 1, -0.8, 11
2022-W23, 8, Schleswig-Holstein, 1, 0.2759, 19
2022-W24, -1, Schleswig-Holstein, 1, -0.04, 18
2022-W25, -10, Schleswig-Holstein, 1, -0.4, 8
2022-W26, 14, Schleswig-Holstein, 1, 0.4828, 22
2022-W27, -2, Schleswig-Holstein, 1, -0.08, 20
2022-W28, 6, Schleswig-Holstein, 1, 0.2069, 26
2022-W29, 7, Schleswig-Holstein, 1, 0.2414, 33
2022-W30, -1, Schleswig-Holstein, 1, -0.04, 32
2022-W31, -11, Schleswig-Holstein, 1, -0.44, 21
2022-W32, 6, Schleswig-Holstein, 1, 0.2069, 27
2022-W33, -2, Schleswig-Holstein, 1, -0.08, 25
2022-W34, -14, Schleswig-Holstein, 1, -0.56, 11
2022-W35, 11, Schleswig-Holstein, 1, 0.3793, 22
2022-W36, -6, Schleswig-Holstein, 1, -0.24, 16
2022-W37, -6, Schleswig-Holstein, 1, -0.24, 10
2022-W38, 3, Schleswig-Holstein, 1, 0.1034, 13
2022-W39, 15, Schleswig-Holstein, 1, 0.5172, 28
2022-W40, -11, Schleswig-Holstein, 1, -0.44, 17
2022-W41, 17, Schleswig-Holstein, 1, 0.5862, 34
2022-W42, 4, Schleswig-Holstein, 1, 0.1379, 38
2022-W43, -14, Schleswig-Holstein, 1, -0.56, 24
2022-W44, 13, Schleswig-Holstein, 1, 0.4483, 37
2022-W45, -8, Schleswig-Holstein, 1, -0.32, 29
2022-W46, 9, Schleswig-Holstein, 1, 0.3103, 38
