Meldedatum, region, region_id, value, difference, frozen, trend, Lower, Prediction, Upper
2023-05-31, Bremen, 4, , , , , , , 
2023-05-30, Bremen, 4, 0.15, -0.1478, 0.1478, -0.0196, , , 
2023-05-29, Bremen, 4, 0.3, , 0.2957, , , , 
2023-05-28, Bremen, 4, 0.3, , 0.2957, , 0.33, 0.35, 0.38
2023-05-27, Bremen, 4, 0.3, , 0.2957, , 0.33, 0.35, 0.38
2023-05-26, Bremen, 4, 0.3, 0.1478, 0.2957, 0.0154, 0.33, 0.35, 0.38
2023-05-25, Bremen, 4, 0.3, , 0.2957, , 0.33, 0.35, 0.38
2023-05-24, Bremen, 4, 0.44, 0.1478, 0.4435, 0.0154, 0.48, 0.5, 0.53
2023-05-23, Bremen, 4, 0.59, 0.1478, 0.2957, 0.0154, 0.61, 0.62, 0.65
2023-05-22, Bremen, 4, 0.59, -0.4435, 0.2957, -0.0588, 0.6, 0.61, 0.63
2023-05-21, Bremen, 4, 0.59, -0.4435, 0.2957, -0.0588, 0.6, 0.61, 0.63
2023-05-20, Bremen, 4, 0.59, -0.4435, 0.2957, -0.0588, 0.6, 0.61, 0.63
2023-05-19, Bremen, 4, 0.59, -1.3304, 0.1478, -0.1765, 0.6, 0.61, 0.63
2023-05-18, Bremen, 4, 0.74, -2.6609, 0.2957, -0.3529, 0.75, 0.76, 0.79
2023-05-17, Bremen, 4, 0.59, -3.1044, 0.2957, -0.4118, 0.6, 0.61, 0.63
2023-05-16, Bremen, 4, 0.3, -5.7653, 0.1478, -0.7647, 0.3, 0.3, 0.31
2023-05-15, Bremen, 4, 0.74, -3.9913, 0.7391, -0.5294, 0.74, 0.75, 0.77
2023-05-14, Bremen, 4, 0.74, -3.9913, 0.7391, -0.5294, 0.74, 0.75, 0.77
2023-05-13, Bremen, 4, 0.74, -3.9913, 0.7391, -0.5294, 0.74, 0.75, 0.77
2023-05-12, Bremen, 4, 1.63, 0.887, 1.4783, 0.0923, 1.63, 1.65, 1.68
2023-05-11, Bremen, 4, 2.51, 2.0696, 2.9566, 0.2154, 2.52, 2.55, 2.6
2023-05-10, Bremen, 4, 3.1, 2.5131, 3.4, 0.2615, 3.11, 3.14, 3.2
2023-05-09, Bremen, 4, 5.03, 5.7653, 5.9131, 0.6, 5.03, 5.08, 5.18
